date,close,adj_close,volume
2025-08-21,12.73,10.218299,7600
2025-08-22,12.75,10.234354,7900
2025-08-25,12.8,10.274489,15400
2025-08-26,12.99,10.427002,10700
2025-08-27,12.97,10.410946,3200
2025-08-28,12.9,10.354757,9900
2025-08-29,12.87,10.330677,400
2025-09-02,13.79,11.069155,87000
2025-09-03,13.85,11.117317,4300
2025-09-04,13.72,11.012966,3700
2025-09-05,14.29,11.470503,400
2025-09-08,14.46,11.606962,3000
2025-09-09,14.35,11.518665,600
2025-09-10,14.36,11.52669,1000
2025-09-11,14.44,11.590906,1400
2025-09-12,14.42,11.574853,900
2025-09-15,14.38,11.542747,4300
2025-09-16,14.23,11.422341,800
2025-09-17,14.33,11.50261,600
2025-09-18,14.47,11.614989,1000
2025-09-19,15.12,12.13674,2900
2025-09-22,15.13,12.144767,32500
2025-09-23,15.31,12.289252,300
2025-09-24,14.94,11.992254,8600
2025-09-25,15.1,12.120686,200
2025-09-26,15.5,12.441765,2200
2025-09-29,15.56,12.620198,900
2025-09-30,15.72,12.749969,400
2025-10-01,15.96,12.944625,900
2025-10-02,15.5,12.571535,700
2025-10-03,15.95,12.936513,600
2025-10-06,16.01,12.985179,3900
2025-10-07,15.64,12.685083,2300
2025-10-08,15.885,12.883794,800
2025-10-09,15.27,12.38499,12900
2025-10-10,15.41,12.498538,9700
2025-10-14,16.15,13.098727,2800
2025-10-15,16.870001,13.682696,3900
2025-10-16,17.33,14.055785,19000
2025-10-17,16.459999,13.350157,4700
2025-10-20,16.85,13.666473,2400
2025-10-21,15.18,12.311994,39400
2025-10-22,15.21,12.336325,7600
2025-10-23,15.37,12.466096,600
2025-10-24,15.3,12.40932,2300
2025-10-27,14.2,11.517148,22700
2025-10-28,14.39,11.67125,3100
2025-10-29,14.49,11.752356,3900
2025-10-30,15.24,12.360657,3100
2025-10-31,14.83,12.155739,6800
2025-11-03,15.04,12.32787,4600
2025-11-04,14.55,11.92623,1700
2025-11-05,14.84,12.163936,1300
2025-11-06,15.02,12.311478,14800
2025-11-07,14.915,12.225411,2100
2025-11-10,15.7,12.868853,6100
2025-11-11,15.7,12.868853,0
2025-11-12,16.09,13.188524,6600
2025-11-13,15.71,12.87705,1200
2025-11-14,15.7,12.868853,14700
2025-11-17,15.47,12.68033,1300
2025-11-18,15.58,12.770492,4400
2025-11-19,15.79,12.942623,400
2025-11-20,15.0,12.295082,2800
2025-11-21,14.89,12.204919,18200
2025-11-24,15.555,12.750003,3600
2025-11-25,15.57,12.762298,14700
2025-11-26,16.200001,13.278688,5700
2025-11-27,16.110001,13.20492,1100
2025-11-28,15.91,13.20492,6700
2025-12-01,15.94,13.229818,6200
2025-12-02,15.59,12.939327,1500
2025-12-03,15.57,12.922728,600
2025-12-04,15.55,12.906128,0
2025-12-05,15.39,12.773333,1100
2025-12-08,15.18,12.599037,4200
2025-12-09,15.22,12.632236,700
2025-12-10,14.98,12.433042,8400
2025-12-11,15.48,12.848029,6700
2025-12-12,15.29,12.690334,2800
2025-12-15,15.35,12.740133,1900
2025-12-16,15.2,12.615636,4100
2025-12-17,15.09,12.52434,2200
2025-12-18,15.28,12.682033,200
2025-12-19,16.004999,13.283765,24700
2025-12-22,16.4,13.611609,7700
2025-12-23,16.5,13.694605,3800
2025-12-24,16.440001,13.644807,4300
2025-12-29,15.55,12.906128,28800
2025-12-30,15.63,12.972526,3600
2025-12-31,15.16,12.786963,4700
2026-01-02,15.16,12.786963,10200
2026-01-05,15.85,13.368957,13200
2026-01-06,16.200001,13.664169,6400
2026-01-07,16.51,13.925644,5900
2026-01-08,16.75,14.128076,1700
2026-01-09,17.290001,14.583549,7700
2026-01-12,17.58,14.828154,7700
2026-01-13,18.0,15.182408,14900
2026-01-14,17.83,15.039021,10300
2026-01-15,18.1,15.266758,1500
2026-01-16,17.790001,15.005281,10400
2026-01-19,18.120001,15.283627,2300
2026-01-20,18.809999,15.865616,2800
2026-01-21,18.52,15.621014,7300
2026-01-22,19.139999,16.143961,1200
2026-01-23,19.16,16.160833,4100
2026-01-26,19.200001,16.194572,24500
2026-01-27,18.969999,16.000572,9500
2026-01-28,19.65,16.574131,11000
2026-01-29,18.889999,15.933097,26100
2026-01-30,16.27,13.959691,50000
2026-02-02,16.459999,14.122711,7400
2026-02-03,16.879999,14.483071,6900
2026-02-04,17.24,14.791954,12400
2026-02-05,16.360001,14.036913,14100
2026-02-06,16.92,14.517393,33300
2026-02-09,18.110001,15.538416,6900
2026-02-10,18.15,15.572735,1700
2026-02-11,18.75,16.087536,2600
2026-02-12,17.889999,15.349655,10500
2026-02-13,18.85,16.173336,15300
2026-02-17,18.530001,15.898777,7700
2026-02-18,19.35,16.602337,7100
2026-02-19,19.610001,16.825417,4900
2026-02-20,19.870001,17.0485,31300
2026-02-23,20.860001,17.897923,17600
2026-02-24,21.32,18.292603,3400
2026-02-25,21.0,18.01804,13800
2026-02-26,21.440001,18.395561,6000
2026-02-27,21.469999,18.727013,3600
2026-03-02,21.530001,18.77935,4700
2026-03-03,19.950001,17.401207,36800
2026-03-04,19.780001,17.252928,6700
2026-03-05,18.76,16.363243,32200
2026-03-06,18.459999,16.101568,10100
2026-03-09,18.879999,16.467909,5200
2026-03-10,19.129999,16.68597,4700
2026-03-11,18.639999,16.25857,3500
2026-03-12,18.41,16.057955,4000
2026-03-13,17.469999,15.238049,10900
2026-03-16,17.57,15.325272,7000
2026-03-17,17.610001,15.360165,21100
2026-03-18,16.225,14.15211,23500
2026-03-19,15.08,13.153394,20700
2026-03-20,14.485,12.63441,14600
2026-03-23,14.87,12.970222,13900
2026-03-24,14.915,13.009474,10700
2026-03-25,15.79,13.772684,14300
2026-03-26,15.45,13.476123,3700
2026-03-27,15.87,13.842463,9900
2026-03-30,15.87,13.842463,10800
2026-03-31,16.559999,14.770052,9000
2026-04-01,17.190001,15.331958,13900
2026-04-02,17.1,15.251683,11600
2026-04-06,17.16,15.305198,15100
2026-04-07,17.09,15.242765,2900
2026-04-08,17.594999,15.693181,21000
2026-04-09,17.65,15.742235,1600
2026-04-10,17.780001,15.858187,5800
2026-04-13,17.74,15.822508,2200
2026-04-14,17.860001,15.929536,5400
2026-04-15,17.42,15.537095,13100
2026-04-16,17.42,15.537095,2500
2026-04-17,17.855,15.925075,4300
2026-04-20,17.42,15.537095,20100
2026-04-21,16.27,14.511398,47300
2026-04-22,16.305,14.542615,16300
2026-04-23,15.905,14.18585,17000
2026-04-24,15.905,14.18585,3500
2026-04-27,15.74,14.038685,11500
2026-04-28,14.91,13.298398,26200
2026-04-29,14.355,12.803388,29400
2026-04-30,14.32,13.091361,11400
2026-05-01,13.91,12.716539,25900
2026-05-04,13.55,12.387426,22700
2026-05-05,13.47,12.31429,21300
2026-05-06,14.5,13.255918,21800
2026-05-07,14.38,13.146214,24200
2026-05-08,14.85,13.575887,6100
2026-05-11,15.16,13.85929,10200
2026-05-12,15.225,13.918714,7700
2026-05-13,15.125,13.827292,5000
2026-05-14,14.865,13.589601,12000
2026-05-15,13.82,12.63426,36800
2026-05-19,13.24,12.104023,35200
2026-05-20,13.62,12.45142,10300
2026-05-21,13.675,12.501701,4600
2026-05-22,13.52,12.360001,15800
2026-05-25,14.23,13.009082,34000
2026-05-26,13.93,12.734822,7400
2026-05-27,13.5,12.341716,19600
