date,close,adj_close,volume
2022-02-02,10.13,5.262205,38300
2022-02-03,10.06,5.225843,12500
2022-02-04,10.13,5.262205,4700
2022-02-07,10.145,5.269998,8200
2022-02-08,10.3,5.350514,16500
2022-02-09,10.3,5.350514,24500
2022-02-10,10.19,5.293373,3100
2022-02-11,10.15,5.272594,3900
2022-02-14,10.03,5.21026,1900
2022-02-15,10.07,5.231037,900
2022-02-16,10.08,5.236234,5200
2022-02-17,9.94,5.163508,300
2022-02-18,9.86,5.12195,1500
2022-02-22,9.75,5.064808,12300
2022-02-23,9.71,5.04403,42900
2022-02-24,9.48,4.924553,12800
2022-02-25,9.63,5.039685,400
2022-02-28,9.52,4.982118,2700
2022-03-01,9.35,4.893151,3200
2022-03-02,9.53,4.987351,500
2022-03-03,9.57,5.008285,1100
2022-03-04,9.43,4.93502,3900
2022-03-07,9.24,4.835586,3400
2022-03-08,9.1,4.762318,400
2022-03-09,9.24,4.835586,1700
2022-03-10,9.47,4.955951,0
2022-03-11,9.45,4.945485,6800
2022-03-14,9.5,4.971652,4200
2022-03-15,9.4,4.919317,12800
2022-03-16,9.6,5.023985,8400
2022-03-17,9.64,5.044918,2800
2022-03-18,9.67,5.060618,3400
2022-03-21,9.68,5.065854,3500
2022-03-22,9.77,5.112953,1100
2022-03-23,9.58,5.013518,3500
2022-03-24,9.56,5.003052,4000
2022-03-25,9.63,5.039685,1200
2022-03-28,9.59,5.018754,2200
2022-03-29,9.65,5.05015,1200
2022-03-30,9.55,5.034337,4200
2022-03-31,9.44,4.976347,12400
2022-04-01,9.35,4.928905,8100
2022-04-04,9.42,4.965807,4200
2022-04-05,9.41,4.960534,7100
2022-04-06,9.27,4.886734,10100
2022-04-07,9.23,4.865648,23500
2022-04-08,9.32,4.913091,16500
2022-04-11,9.33,4.918362,10900
2022-04-12,9.2,4.849833,7200
2022-04-13,9.15,4.823474,27700
2022-04-14,9.19,4.844559,600
2022-04-18,9.17,4.834018,4500
2022-04-19,9.23,4.865648,4900
2022-04-20,9.3,4.902548,13100
2022-04-21,9.28,4.892003,15900
2022-04-22,9.05,4.77076,12500
2022-04-25,8.98,4.733858,16100
