date,close,adj_close,volume
2025-08-21,12.09,10.312515,2100
2025-08-22,11.91,10.158979,6500
2025-08-25,11.88,10.133389,4000
2025-08-26,11.7,9.979851,4400
2025-08-27,11.66,9.945733,200
2025-08-28,11.51,9.817788,900
2025-08-29,11.57,9.868965,4100
2025-09-02,11.32,9.655721,6900
2025-09-03,11.34,9.672781,1100
2025-09-04,11.4,9.723958,2100
2025-09-05,11.38,9.706901,0
2025-09-08,11.33,9.664251,14300
2025-09-09,11.3,9.638661,7400
2025-09-10,11.24,9.587481,7800
2025-09-11,11.31,9.647192,600
2025-09-12,11.24,9.587481,200
2025-09-15,11.09,9.459536,18800
2025-09-16,10.9,9.29747,9600
2025-09-17,10.95,9.340119,500
2025-09-18,10.78,9.195111,5300
2025-09-19,10.76,9.178053,3400
2025-09-22,10.78,9.195111,4000
2025-09-23,10.86,9.263351,3900
2025-09-24,10.83,9.237761,14700
2025-09-25,10.84,9.246291,2200
2025-09-26,10.91,9.306,1600
2025-09-29,10.75,9.288718,2400
2025-09-30,10.85,9.375125,2000
2025-10-01,10.91,9.426969,100
2025-10-02,10.86,9.383767,300
2025-10-03,10.88,9.401046,200
2025-10-06,10.78,9.31464,6500
2025-10-07,10.84,9.366485,3400
2025-10-08,10.81,9.340564,8300
2025-10-09,10.93,9.444249,1200
2025-10-10,11.16,9.642986,600
2025-10-14,10.95,9.461532,7800
2025-10-15,11.06,9.556581,5500
2025-10-16,11.15,9.634344,2400
2025-10-17,11.4,9.850361,7600
2025-10-20,11.205,9.68187,3100
2025-10-21,11.19,9.668908,400
2025-10-22,11.3,9.763955,1300
2025-10-23,11.21,9.68619,2000
2025-10-24,11.16,9.642986,100
2025-10-27,10.985,9.491774,14300
2025-10-28,11.0,9.504735,10500
2025-10-29,10.92,9.43561,800
2025-10-30,10.78,9.31464,3400
2025-10-31,10.53,9.218342,2200
2025-11-03,10.385,9.091405,10400
2025-11-04,10.31,9.025746,4400
2025-11-05,10.4,9.104535,3100
2025-11-06,10.74,9.402184,25100
2025-11-07,10.75,9.410938,7700
2025-11-10,10.59,9.270869,1600
2025-11-11,10.87,9.51599,300
2025-11-12,10.54,9.227096,10700
2025-11-13,10.72,9.384676,2200
2025-11-14,10.56,9.244606,600
2025-11-17,10.54,9.227096,300
2025-11-18,10.69,9.35841,0
2025-11-19,10.46,9.157062,300
2025-11-20,10.69,9.35841,900
2025-11-21,10.82,9.472219,500
2025-11-24,10.82,9.472219,17600
2025-11-25,10.9,9.542254,7200
2025-11-26,10.83,9.480973,3100
2025-11-27,10.875,9.52037,17300
2025-11-28,10.75,9.53367,1300
2025-12-01,10.8,9.578014,0
2025-12-02,10.71,9.498198,2000
2025-12-03,10.6,9.400643,500
2025-12-04,10.62,9.41838,1400
2025-12-05,10.7,9.489327,700
2025-12-08,10.58,9.382907,900
2025-12-09,10.52,9.329696,2600
2025-12-10,10.49,9.30309,7900
2025-12-11,10.57,9.374037,4900
2025-12-12,10.75,9.53367,300
2025-12-15,10.9,9.666699,6500
2025-12-16,10.7,9.489327,5200
2025-12-17,10.63,9.427249,700
2025-12-18,10.445,9.263181,14400
2025-12-19,10.52,9.329696,3100
2025-12-22,10.27,9.107983,11400
2025-12-23,10.29,9.125719,13900
2025-12-24,10.4,9.223272,8900
2025-12-29,10.66,9.453854,1800
2025-12-30,10.79,9.569144,1100
2025-12-31,10.75,9.658996,3700
2026-01-02,10.71,9.623056,8900
2026-01-05,10.7,9.61407,6400
2026-01-06,10.75,9.658996,0
2026-01-07,10.61,9.533203,700
2026-01-08,10.81,9.712908,300
2026-01-09,10.88,9.775803,13400
2026-01-12,10.9,9.793773,12900
2026-01-13,10.86,9.757833,3200
2026-01-14,11.08,9.955505,5100
2026-01-15,11.06,9.937534,1500
2026-01-16,11.11,9.982461,600
2026-01-19,11.11,9.982461,0
2026-01-20,11.17,10.036371,2300
2026-01-21,11.12,9.991446,300
2026-01-22,11.27,10.126223,31500
2026-01-23,11.4,10.243028,6300
2026-01-26,11.4,10.243028,0
2026-01-27,11.4,10.243028,1200
2026-01-28,11.3,10.153176,4900
2026-01-29,11.38,10.22506,3300
2026-01-30,11.43,10.397903,11300
2026-02-02,11.5,10.461581,8900
2026-02-03,11.59,10.543453,500
2026-02-04,11.69,10.634424,4500
2026-02-05,11.37,10.343319,21300
2026-02-06,11.22,10.206864,8700
2026-02-09,11.32,10.297834,7500
2026-02-10,11.44,10.406998,700
2026-02-11,11.4,10.37061,900
2026-02-12,11.52,10.479776,10200
2026-02-13,11.49,10.452485,1400
2026-02-17,11.46,10.425192,1300
2026-02-18,11.48,10.443387,600
2026-02-19,11.48,10.443387,100
2026-02-20,11.44,10.406998,0
2026-02-23,11.69,10.634424,500
2026-02-24,11.59,10.543453,600
2026-02-25,11.47,10.434291,4100
2026-02-26,11.48,10.443387,400
2026-02-27,11.46,10.553898,18000
2026-03-02,11.67,10.747295,900
2026-03-03,11.6,10.682829,500
2026-03-04,11.67,10.747295,200
2026-03-05,11.47,10.563108,9200
2026-03-06,11.5,10.590736,1300
2026-03-09,11.45,10.544688,3200
2026-03-10,11.45,10.544688,0
2026-03-11,11.36,10.461805,1100
2026-03-12,11.29,10.39734,7300
2026-03-13,11.39,10.489433,1800
2026-03-16,11.64,10.719667,600
2026-03-17,11.78,10.848598,7200
2026-03-18,11.61,10.692038,2800
2026-03-19,11.64,10.719667,1300
2026-03-20,11.65,10.728875,3100
2026-03-23,11.61,10.692038,1100
2026-03-24,11.75,10.820969,2100
2026-03-25,11.63,10.710458,1900
2026-03-26,11.58,10.66441,2800
2026-03-27,11.52,10.609155,4900
2026-03-30,11.565,10.650597,10400
2026-03-31,11.42,10.645936,3800
2026-04-01,11.45,10.673903,1400
2026-04-02,11.01,10.263726,12400
2026-04-06,10.925,10.184487,11800
2026-04-07,10.7,9.974739,8800
2026-04-08,10.75,10.021348,14500
2026-04-09,10.63,9.909483,14700
2026-04-10,10.37,9.667106,10700
2026-04-13,10.41,9.704395,7500
2026-04-14,10.55,9.834905,200
2026-04-15,10.52,9.80694,10700
2026-04-16,10.67,9.946772,5500
2026-04-17,10.69,9.965416,200
2026-04-20,10.5,9.788294,7200
2026-04-21,10.51,9.797617,2700
2026-04-22,10.44,9.732361,17800
2026-04-23,10.56,9.844228,6300
2026-04-24,10.5,9.788294,600
2026-04-27,10.3,9.601851,12400
2026-04-28,10.37,9.667106,200
2026-04-29,10.18,9.489984,1600
2026-04-30,10.22,9.660124,1200
2026-05-01,10.27,9.707385,2100
2026-05-04,10.34,9.77355,1400
2026-05-05,10.4,9.830262,300
2026-05-06,10.46,9.886975,1000
2026-05-07,10.69,10.104376,3600
2026-05-08,10.51,9.934237,2300
2026-05-11,10.55,9.972045,500
2026-05-12,10.72,10.132732,2400
2026-05-13,10.77,10.179994,15900
2026-05-14,10.68,10.094924,900
2026-05-15,10.52,9.943689,400
2026-05-19,10.53,9.953142,7200
2026-05-20,10.6,10.019306,5400
2026-05-21,10.76,10.170541,5300
2026-05-22,10.85,10.255611,9100
2026-05-25,10.9,10.302872,14100
2026-05-26,10.9,10.302872,1600
2026-05-27,11.06,10.454107,800
2026-05-28,10.95,10.350132,47600
2026-05-29,10.95,10.484176,0
2026-06-01,10.92,10.455452,1000
2026-06-02,10.72,10.263961,2400
2026-06-03,10.7,10.244812,700
2026-06-04,10.51,10.062895,2100
2026-06-05,10.71,10.254387,1700
2026-06-08,10.65,10.196939,3100
2026-06-09,10.8,10.340558,4300
2026-06-10,10.87,10.407579,2300
2026-06-11,10.89,10.42673,1300
2026-06-12,10.85,10.388432,1000
2026-06-15,10.81,10.350133,200
2026-06-16,10.7,10.244812,4100
2026-06-17,10.44,9.995872,6700
2026-06-18,10.47,10.024596,5700
2026-06-19,10.42,9.976723,21300
2026-06-22,10.165,9.732571,26500
2026-06-23,10.39,9.948,5500
2026-06-24,10.53,10.082045,500
2026-06-25,10.39,9.948,3100
2026-06-26,10.3,9.861829,6200
2026-06-29,9.97,9.545867,25000
2026-06-30,9.4,9.128295,26000
2026-07-02,9.31,9.040897,20500
2026-07-03,9.32,9.050608,4100
2026-07-06,9.08,8.817546,14800
2026-07-07,9.36,9.089452,7400
2026-07-08,9.36,9.089452,1500
2026-07-09,9.24,8.97292,6600
2026-07-10,9.3,9.031187,13500
2026-07-13,9.33,9.060319,14000
2026-07-14,9.13,8.8661,18500
2026-07-15,9.31,9.040897,4800
2026-07-16,9.5,9.225406,1800
2026-07-17,9.41,9.138006,800
2026-07-20,9.37,9.099163,700
2026-07-21,9.39,9.118585,1000
2026-07-22,9.29,9.021476,2900
2026-07-23,9.15,8.885522,2500
2026-07-24,9.25,8.982632,6600
2026-07-27,9.28,9.011765,1800
2026-07-28,9.45,9.176851,200
2026-07-29,9.66,9.38078,1200
2026-07-30,9.34,9.07003,3100
2026-07-31,9.17,9.040454,6500
2026-08-04,9.32,9.188334,2900
2026-08-05,9.39,9.257346,1800
2026-08-06,9.73,9.592543,3300
2026-08-07,9.63,9.493956,3700
2026-08-10,9.53,9.395369,9600
2026-08-11,9.88,9.740424,13900
2026-08-12,9.75,9.612261,6000
2026-08-13,9.87,9.730565,2900
2026-08-14,9.89,9.750283,1200
2026-08-17,9.89,9.750283,800
2026-08-18,9.9,9.760141,5600
2026-08-19,9.94,9.799576,51700
2026-08-20,9.96,9.819294,9500
2026-08-21,9.93,9.789718,6200
2026-08-24,10.06,9.917881,5900
2026-08-25,9.9,9.760141,2600
2026-08-26,9.91,9.77,1200
2026-08-27,9.85,9.710848,17000
2026-08-28,9.91,9.77,1400
2026-08-31,9.82,9.82,14700
2026-09-01,9.9,9.9,400
2026-09-02,9.72,9.72,2100
2026-09-03,9.89,9.89,600
2026-09-04,9.86,9.86,5900
2026-09-08,9.73,9.73,5900
2026-09-09,9.685,9.685,500
2026-09-10,9.64,9.64,3348
