date,close,adj_close,volume
2016-09-12,13.26,6.488806,1650
2016-09-13,13.08,6.400726,1050
2016-09-14,13.14,6.430086,3650
2016-09-15,13.28,6.498592,1900
2016-09-16,13.22,6.469235,6550
2016-09-19,13.32,6.518168,6150
2016-09-20,13.26,6.488806,1600
2016-09-21,13.4,6.557315,3050
2016-09-22,13.46,6.586676,2300
2016-09-23,13.4,6.557315,1400
2016-09-26,13.36,6.537743,1400
2016-09-27,13.34,6.527956,3050
2016-09-28,13.3,6.536803,2150
2016-09-29,13.44,6.605606,6950
2016-09-30,13.48,6.625271,1850
2016-10-03,13.38,6.576122,1050
2016-10-04,13.24,6.507312,1250
2016-10-05,13.38,6.576122,4000
2016-10-06,13.36,6.566289,2250
2016-10-07,13.38,6.576122,10950
2016-10-11,13.34,6.556459,11800
2016-10-12,13.38,6.576122,10550
2016-10-13,13.42,6.595779,12500
2016-10-14,13.34,6.556459,2350
2016-10-17,13.34,6.556459,2800
2016-10-18,13.42,6.595779,3400
2016-10-19,13.52,6.644925,15500
2016-10-20,13.5,6.6351,2300
2016-10-21,13.6,6.684248,11600
2016-10-24,13.6,6.684248,3950
2016-10-25,13.52,6.644925,3350
2016-10-26,13.52,6.644925,3200
2016-10-27,13.48,6.654803,1650
2016-10-28,13.42,6.62518,2500
2016-10-31,13.4,6.615309,2550
2016-11-01,13.34,6.585688,4100
2016-11-02,13.3,6.565942,1650
2016-11-03,13.22,6.526445,1500
2016-11-04,13.2,6.516572,2950
2016-11-07,13.32,6.575814,3700
2016-11-08,13.32,6.575814,2350
2016-11-09,13.4,6.615309,3000
2016-11-10,13.46,6.644926,6750
2016-11-11,13.3,6.565942,3750
2016-11-14,13.3,6.565942,67600
2016-11-15,13.48,6.654803,3000
2016-11-16,13.48,6.654803,6400
2016-11-17,13.6,6.714046,4950
2016-11-18,13.64,6.733791,2650
2016-11-21,13.76,6.793031,3050
2016-11-22,13.82,6.822657,3800
2016-11-23,13.78,6.802907,2650
2016-11-24,13.86,6.842404,2700
2016-11-25,13.84,6.83253,9350
2016-11-28,13.72,6.801788,7450
2016-11-29,13.68,6.78196,9850
2016-11-30,13.82,6.851368,12650
2016-12-01,13.74,6.811704,2950
2016-12-02,13.76,6.821618,2100
2016-12-05,13.78,6.831538,4050
2016-12-06,13.86,6.871199,13100
2016-12-07,13.9,6.891025,3600
2016-12-08,13.9,6.891025,1450
2016-12-09,13.88,6.88111,2300
2016-12-12,13.88,6.88111,1400
2016-12-13,13.9,6.891025,11850
2016-12-14,13.78,6.831538,13000
2016-12-15,13.76,6.821618,25550
2016-12-16,13.8,6.841452,4650
2016-12-19,13.84,6.861282,4800
2016-12-20,13.86,6.871199,3250
2016-12-21,13.86,6.871199,5550
