date,close,adj_close,volume
2025-03-05,13.09,6.795756,3900
2025-03-06,12.45,6.463494,19400
2025-03-07,12.72,6.603667,12500
2025-03-10,10.38,5.388842,267800
2025-03-11,11.27,5.85089,42800
2025-03-12,11.13,5.778209,3600
2025-03-13,10.23,5.310967,48900
2025-03-14,10.55,5.477098,23900
2025-03-17,11.05,5.736675,73600
2025-03-18,10.445,5.422586,11300
2025-03-19,11.08,5.752251,12800
2025-03-20,10.96,5.689952,10100
2025-03-21,11.03,5.726294,10700
2025-03-24,11.72,6.084511,8400
2025-03-25,11.72,6.084511,16400
2025-03-26,11.32,5.876849,105400
2025-03-27,10.91,5.663994,123400
2025-03-28,9.89,5.134455,229600
2025-03-31,9.41,5.091172,97200
2025-04-01,9.5,5.139864,65200
2025-04-02,10.0,5.410384,29500
2025-04-03,9.18,4.966734,59600
2025-04-04,8.42,4.555544,30400
2025-04-07,8.47,4.582596,25100
2025-04-08,7.8,4.2201,10100
2025-04-09,9.56,5.172328,82900
2025-04-10,9.01,4.874757,21000
2025-04-11,9.25,5.004605,3800
2025-04-14,9.35,5.05871,15800
2025-04-15,9.33,5.047888,230600
2025-04-16,9.08,4.912629,42500
2025-04-17,9.3,5.031658,7500
2025-04-21,9.29,5.026247,88600
2025-04-22,10.1,5.464489,30000
2025-04-23,10.44,5.648441,6200
2025-04-24,10.845,5.867562,8000
2025-04-25,11.08,5.994706,31000
2025-04-28,10.9,5.897318,63900
2025-04-29,10.99,5.946012,63900
2025-04-30,10.355,5.814066,12400
2025-05-01,10.38,5.828103,3200
2025-05-02,10.44,5.861791,11600
2025-05-05,10.2,5.727038,25800
2025-05-06,10.09,5.665275,18400
2025-05-07,10.04,5.637201,21000
2025-05-08,10.7,6.007775,7900
2025-05-09,10.36,5.816874,145400
2025-05-12,10.79,6.058307,86100
2025-05-13,13.28,7.456379,125700
2025-05-14,13.57,7.619207,62100
2025-05-15,12.63,7.091421,45300
2025-05-16,13.73,7.709041,28000
2025-05-20,13.46,7.557443,29100
2025-05-21,13.25,7.439534,45300
2025-05-22,13.89,7.798879,23300
2025-05-23,13.41,7.529371,16300
2025-05-26,13.97,7.843796,27800
2025-05-27,13.625,7.650089,24900
2025-05-28,13.07,7.338469,39500
2025-05-29,12.69,7.125109,82000
2025-05-30,12.15,7.043943,28500
2025-06-02,12.06,6.991767,21300
2025-06-03,12.71,7.368603,51700
2025-06-04,12.53,7.264249,8300
2025-06-05,11.95,6.927995,10900
2025-06-06,12.39,7.183084,9600
2025-06-09,12.61,7.310629,4800
2025-06-10,12.52,7.258451,29200
2025-06-11,12.29,7.125109,71800
2025-06-12,11.76,6.817842,55000
2025-06-13,11.81,6.84683,25700
2025-06-16,12.79,7.414983,36900
2025-06-17,12.45,7.217868,12900
2025-06-18,14.53,8.423745,159000
2025-06-19,14.71,8.5281,20800
2025-06-20,14.89,8.632456,43100
2025-06-23,15.09,8.748405,44600
2025-06-24,16.82,9.751369,67100
2025-06-25,17.280001,10.018054,20900
2025-06-26,18.1,10.493448,29000
2025-06-27,17.205,9.974573,50600
2025-06-30,16.51,9.799475,46900
2025-07-02,16.75,9.941928,37000
2025-07-03,16.75,9.941928,12300
2025-07-04,16.309999,9.680767,30900
2025-07-07,16.809999,9.977541,38600
2025-07-08,16.809999,9.977541,17200
2025-07-09,17.700001,10.505799,51500
2025-07-10,18.41,10.927216,53800
2025-07-11,18.32,10.873797,24200
2025-07-14,18.639999,11.063733,20400
