date,close,adj_close,volume
2025-10-01,12.28,7.526594,58700
2025-10-02,14.79,9.065008,22500
2025-10-03,14.18,8.691131,32300
2025-10-06,14.45,8.856617,30900
2025-10-07,14.6,8.948555,11300
2025-10-08,14.61,8.954684,29800
2025-10-09,14.82,9.083397,17200
2025-10-10,12.9,7.906599,95200
2025-10-14,12.98,7.955634,37900
2025-10-15,12.94,7.931116,20100
2025-10-16,12.25,7.508206,36500
2025-10-17,11.96,7.330461,31600
2025-10-20,12.52,7.673693,29300
2025-10-21,12.39,7.594014,25100
2025-10-22,11.83,7.250782,46000
2025-10-23,12.19,7.471431,7100
2025-10-24,13.55,8.304996,27000
2025-10-27,13.67,8.378544,30000
2025-10-28,12.92,7.918858,38100
2025-10-29,12.5,7.661436,56500
2025-10-30,11.5,7.048518,63600
2025-10-31,11.63,7.38507,34100
2025-11-03,10.73,6.813568,58100
2025-11-04,10.0,6.350018,38900
2025-11-05,10.35,6.572268,32000
2025-11-06,8.75,5.556265,73400
2025-11-07,9.08,5.765816,75900
2025-11-10,9.16,5.816617,33800
2025-11-11,8.6,5.461015,37600
2025-11-12,7.29,4.629163,142700
2025-11-13,6.84,4.343412,70200
2025-11-14,6.8,4.318012,61600
2025-11-17,6.25,3.968761,45300
2025-11-18,6.27,3.981461,39900
2025-11-19,5.62,3.56871,75400
2025-11-20,5.33,3.384559,54400
2025-11-21,5.79,3.67666,84300
2025-11-24,5.89,3.74016,94100
2025-11-25,5.64,3.581409,28800
2025-11-26,5.92,3.75921,52400
2025-11-27,6.06,3.84811,88200
2025-11-28,6.33,4.228913,62700
2025-12-01,5.87,3.921599,43800
2025-12-02,5.98,3.995087,24500
2025-12-03,6.75,4.509504,30500
2025-12-04,6.83,4.562951,11200
2025-12-05,6.57,4.389251,71300
2025-12-08,6.5,4.342485,58600
2025-12-09,6.89,4.603035,58900
2025-12-10,6.82,4.55627,21700
2025-12-11,6.83,4.562951,29100
2025-12-12,6.44,4.302402,21600
