date,close,adj_close,volume
2024-02-07,16.02,11.723555,7900
2024-02-08,16.209999,11.862597,7300
2024-02-09,16.0,11.708916,6700
2024-02-12,16.120001,11.796734,10000
2024-02-13,16.049999,11.745507,13000
2024-02-14,16.02,11.723555,5600
2024-02-15,16.4,12.001638,6900
2024-02-16,16.43,12.023594,4400
2024-02-20,16.33,11.950413,9800
2024-02-21,16.549999,12.111408,3300
2024-02-22,16.629999,12.169956,8300
2024-02-23,16.58,12.133363,7500
2024-02-26,16.66,12.191909,2100
2024-02-27,16.639999,12.177271,10300
2024-02-28,16.48,12.177273,7500
2024-02-29,16.6,12.265942,2300
2024-03-01,16.799999,12.413726,15500
2024-03-04,16.74,12.369389,6100
2024-03-05,16.809999,12.421113,2900
2024-03-06,16.75,12.376779,5700
2024-03-07,16.82,12.428503,1300
2024-03-08,16.84,12.443284,1300
2024-03-11,16.98,12.546729,22800
2024-03-12,16.99,12.554117,7800
2024-03-13,17.24,12.738848,3100
2024-03-14,17.41,12.864461,6900
2024-03-15,17.5,12.930963,4900
2024-03-18,17.6,13.004857,4100
2024-03-19,17.75,13.115686,3900
2024-03-20,17.67,13.056578,3000
2024-03-21,17.780001,13.137861,1400
2024-03-22,17.83,13.174803,3500
2024-03-25,17.969999,13.278253,27500
2024-03-26,17.870001,13.204364,4800
2024-03-27,17.780001,13.257303,4200
2024-03-28,17.950001,13.384058,5200
2024-04-01,18.139999,13.525726,2200
2024-04-02,18.290001,13.637575,64900
2024-04-03,18.440001,13.74942,9500
2024-04-04,18.43,13.741961,7600
2024-04-05,18.67,13.920914,4400
2024-04-08,18.6,13.868716,8100
2024-04-09,18.58,13.853806,64700
2024-04-10,18.799999,14.01784,12600
2024-04-11,18.700001,13.943283,15400
2024-04-12,18.59,13.861259,26500
2024-04-15,18.43,13.741961,18000
2024-04-16,18.4,13.719592,9300
2024-04-17,18.290001,13.637575,9300
2024-04-18,18.190001,13.563006,6900
2024-04-19,18.280001,13.630118,1500
2024-04-22,18.35,13.682309,5300
2024-04-23,18.4,13.719592,1300
2024-04-24,18.459999,13.764329,6000
2024-04-25,18.530001,13.816522,17700
2024-04-26,18.450001,13.756874,3200
2024-04-29,18.309999,13.777945,1700
2024-04-30,17.93,13.492003,4800
2024-05-01,17.629999,13.266254,3300
2024-05-02,17.66,13.288832,2000
2024-05-03,17.629999,13.266254,5400
2024-05-06,17.790001,13.386652,3200
2024-05-07,17.85,13.431805,2400
2024-05-08,17.860001,13.439327,27400
2024-05-09,17.959999,13.514575,14700
2024-05-10,17.799999,13.394175,7900
2024-05-13,17.76,13.364077,5800
2024-05-14,17.610001,13.251204,400
2024-05-15,17.57,13.221103,7900
2024-05-16,17.59,13.236157,1500
2024-05-17,17.860001,13.439327,1900
2024-05-21,17.76,13.364077,5400
2024-05-22,17.559999,13.21358,39200
2024-05-23,17.52,13.183482,7200
2024-05-24,17.465,13.142095,3900
2024-05-27,17.68,13.303877,10100
2024-05-28,17.67,13.296355,6800
2024-05-29,17.33,13.040508,8600
2024-05-30,17.309999,13.02546,9900
2024-05-31,17.440001,13.253445,3000
2024-06-03,16.9,12.843075,16000
2024-06-04,16.73,12.713883,6000
2024-06-05,16.77,12.74428,4600
2024-06-06,16.85,12.805078,4800
2024-06-07,16.889999,12.835475,8300
2024-06-10,17.030001,12.941869,39500
2024-06-11,17.01,12.926666,5500
2024-06-12,16.780001,12.751884,5100
2024-06-13,16.57,12.592292,6100
2024-06-14,16.450001,12.501101,5700
2024-06-17,16.530001,12.561895,1800
2024-06-18,16.59,12.607491,3200
2024-06-19,16.639999,12.645487,5500
2024-06-20,16.795,12.763279,6600
2024-06-21,16.66,12.660687,400
2024-06-24,17.059999,12.964666,11300
2024-06-25,17.08,12.979863,5400
2024-06-26,17.01,12.926666,11900
2024-06-27,17.09,12.987466,2000
2024-06-28,16.959999,13.016628,2000
2024-07-02,17.0,13.047325,9900
2024-07-03,17.08,13.108726,5700
2024-07-04,17.08,13.108726,0
2024-07-05,16.780001,12.878483,10900
2024-07-08,16.695,12.813245,6200
2024-07-09,16.504999,12.667419,7000
2024-07-10,16.6,12.740329,2100
2024-07-11,16.790001,12.886156,1200
2024-07-12,16.799999,12.893831,10200
2024-07-15,17.09,13.116404,17400
2024-07-16,17.059999,13.093378,3500
2024-07-17,17.17,13.177801,16600
2024-07-18,17.17,13.177801,5700
2024-07-19,17.049999,13.085706,3400
2024-07-22,17.030001,13.070354,37000
2024-07-23,16.799999,12.893831,7100
2024-07-24,16.870001,12.947556,6700
2024-07-25,17.09,13.116404,12600
2024-07-26,17.15,13.162451,8200
2024-07-29,17.02,13.062678,900
2024-07-30,17.25,13.239201,5500
2024-07-31,17.190001,13.322906,900
2024-08-01,16.74,12.974137,13100
2024-08-02,16.190001,12.547866,21300
2024-08-06,16.0,12.40061,8100
2024-08-07,16.0,12.40061,8800
2024-08-08,16.33,12.656372,3800
2024-08-09,16.4,12.710624,3500
2024-08-12,16.6,12.865632,11800
2024-08-13,16.459999,12.757128,11200
2024-08-14,16.559999,12.834631,7000
2024-08-15,16.790001,13.01289,9600
2024-08-16,16.73,12.966387,10500
2024-08-19,16.690001,12.935389,7900
2024-08-20,16.25,12.594368,23800
2024-08-21,16.25,12.594368,21200
2024-08-22,16.25,12.594368,10700
2024-08-23,16.41,12.718376,9800
2024-08-26,16.52,12.80363,9600
2024-08-27,16.280001,12.61762,7800
2024-08-28,16.24,12.586617,5000
2024-08-29,16.379999,12.695124,9500
2024-08-30,16.24,12.716263,10500
2024-09-03,15.82,12.387396,39200
2024-09-04,15.56,12.183811,28800
2024-09-05,15.36,12.027207,12100
2024-09-06,15.2,11.901922,18900
2024-09-09,15.21,11.909753,9700
2024-09-10,14.98,11.729659,27200
2024-09-11,14.825,11.608288,51600
2024-09-12,14.93,11.69051,16700
2024-09-13,15.04,11.776639,21300
2024-09-16,15.16,11.870604,18900
2024-09-17,15.4,12.058528,31100
2024-09-18,15.42,12.074188,14600
2024-09-19,15.6,12.215132,19800
2024-09-20,15.49,12.128999,37100
2024-09-23,15.54,12.168152,15300
2024-09-24,15.51,12.144663,50300
2024-09-25,15.27,11.956736,18800
2024-09-26,14.94,11.698337,90500
2024-09-27,15.07,11.933523,26100
2024-09-30,15.15,11.996874,17400
2024-10-01,15.47,12.250276,89500
2024-10-02,15.58,12.337379,19700
2024-10-03,16.030001,12.693724,45700
2024-10-04,16.16,12.796664,38900
2024-10-07,16.309999,12.915446,29900
2024-10-08,15.93,12.614535,16600
2024-10-09,16.08,12.733315,15600
2024-10-10,16.280001,12.891692,19400
2024-10-11,16.309999,12.915446,20100
2024-10-15,15.73,12.456161,51400
2024-10-16,15.74,12.464079,26500
2024-10-17,15.87,12.567022,17100
2024-10-18,15.81,12.51951,27000
2024-10-21,15.82,12.527427,7600
2024-10-22,15.8,12.511592,10000
2024-10-23,15.68,12.416568,23500
2024-10-24,15.67,12.408647,10300
2024-10-25,15.77,12.487835,5500
2024-10-28,15.62,12.369056,29700
2024-10-29,15.39,12.186925,32100
2024-10-30,15.38,12.179005,10200
2024-10-31,15.305,12.251852,21100
2024-11-01,15.26,12.215827,12000
2024-11-04,15.41,12.335906,6700
2024-11-05,15.4,12.3279,5100
2024-11-06,16.040001,12.84023,34600
2024-11-07,15.88,12.712144,17000
2024-11-08,15.94,12.760176,4900
2024-11-11,16.02,12.824219,9600
2024-11-12,15.93,12.752173,10900
2024-11-13,16.15,12.928285,27000
2024-11-14,16.27,13.024346,19900
2024-11-15,16.190001,12.960305,24900
2024-11-18,16.309999,13.056366,13500
2024-11-19,16.17,12.944296,14000
2024-11-20,16.33,13.072376,10200
2024-11-21,16.43,13.152426,25200
2024-11-22,16.48,13.192454,11700
2024-11-25,16.209999,12.976315,27800
2024-11-26,16.219999,12.984319,17800
2024-11-27,16.200001,12.96831,17200
2024-11-28,16.469999,13.184446,41300
2024-11-29,16.209999,13.109239,25700
2024-12-02,16.059999,12.98793,14400
2024-12-03,16.075001,13.000063,5900
2024-12-04,15.71,12.704883,26400
2024-12-05,15.67,12.672533,11100
2024-12-06,15.49,12.526967,29000
2024-12-09,15.62,12.632099,17700
2024-12-10,15.465,12.506748,15700
2024-12-11,15.56,12.583574,9000
2024-12-12,15.415,12.466311,19800
2024-12-13,15.335,12.401615,12900
2024-12-16,15.0,12.130695,41800
2024-12-17,14.95,12.09026,28800
2024-12-18,14.65,11.847644,37400
2024-12-19,14.395,11.641425,21500
2024-12-20,14.46,11.693992,38200
2024-12-23,14.6,11.80721,17000
2024-12-24,14.73,11.912344,11800
2024-12-27,14.75,11.928517,29500
2024-12-30,14.76,11.936603,12700
2024-12-31,14.85,12.145988,8000
2025-01-02,15.0,12.268677,9500
2025-01-03,15.18,12.415901,6000
2025-01-06,15.07,12.325929,13700
2025-01-07,15.27,12.489513,25900
2025-01-08,15.27,12.489513,15600
2025-01-09,15.32,12.530407,11100
2025-01-10,15.4,12.595841,16800
2025-01-13,15.6,12.759423,19500
2025-01-14,15.625,12.779871,8500
2025-01-15,15.79,12.914827,61200
2025-01-16,15.85,12.963901,17500
2025-01-17,16.049999,13.127483,20800
2025-01-20,16.059999,13.135662,65800
2025-01-21,15.78,12.906649,41600
2025-01-22,15.63,12.78396,11900
2025-01-23,15.7,12.841216,14800
2025-01-24,15.52,12.693993,24500
2025-01-27,15.53,12.702169,102700
2025-01-28,15.36,12.563124,135900
2025-01-29,15.42,12.6122,105200
2025-01-30,15.51,12.685813,26100
2025-01-31,15.05,12.441935,56100
2025-02-03,15.08,12.466734,37700
2025-02-04,15.23,12.590739,19800
2025-02-05,15.22,12.582476,37400
2025-02-06,14.96,12.367529,57200
2025-02-07,14.89,12.309662,29500
2025-02-10,15.225,12.586607,53800
2025-02-11,15.4,12.731279,18600
2025-02-12,15.05,12.441935,75300
2025-02-13,15.015,12.412997,24700
2025-02-14,15.06,12.4502,15400
2025-02-18,15.27,12.623808,38800
2025-02-19,15.45,12.772618,25200
2025-02-20,15.555,12.85942,21500
2025-02-21,15.28,12.632076,66400
2025-02-24,15.25,12.607274,29600
2025-02-25,15.08,12.466734,72300
2025-02-26,14.94,12.350996,150300
2025-02-27,15.16,12.532871,36000
2025-02-28,15.1,12.619789,70600
2025-03-03,14.54,12.15177,69100
2025-03-04,14.32,11.967904,35100
2025-03-05,14.01,11.708825,90200
2025-03-06,14.12,11.800756,29100
2025-03-07,14.46,12.08491,43000
2025-03-10,14.52,12.135056,33600
2025-03-11,14.42,12.05148,30000
2025-03-12,14.49,12.109982,26800
2025-03-13,14.43,12.059837,44100
2025-03-14,14.73,12.310561,10400
2025-03-17,14.875,12.431746,26300
2025-03-18,14.91,12.460996,18000
2025-03-19,15.15,12.661575,29100
2025-03-20,15.19,12.695004,28600
2025-03-21,15.13,12.644861,35000
2025-03-24,15.25,12.745151,31300
2025-03-25,15.27,12.761865,18500
2025-03-26,15.3,12.786938,43400
2025-03-27,15.2,12.703362,28300
2025-03-28,15.105,12.623967,35800
2025-03-31,15.15,12.799699,28400
2025-04-01,15.15,12.799699,36100
2025-04-02,15.21,12.850391,17000
2025-04-03,13.76,11.625339,340500
2025-04-04,12.58,10.628396,150100
2025-04-07,12.38,10.459423,95200
2025-04-08,12.02,10.155274,65700
2025-04-09,13.08,11.050831,145300
2025-04-10,12.03,10.16372,121000
2025-04-11,12.27,10.366489,87200
2025-04-14,12.29,10.383385,69900
2025-04-15,12.33,10.41718,58500
2025-04-16,12.34,10.425631,93500
2025-04-17,12.655,10.691762,55600
2025-04-21,12.39,10.467873,40600
2025-04-22,12.625,10.666416,29900
2025-04-23,12.67,10.704434,105600
2025-04-24,12.8,10.814266,47300
2025-04-25,12.8,10.814266,41600
2025-04-28,12.85,10.856512,19700
2025-04-29,12.8,10.814266,28500
2025-04-30,12.33,10.549043,82100
2025-05-01,12.51,10.703043,35100
2025-05-02,12.67,10.839933,55400
2025-05-05,12.45,10.651711,62700
2025-05-06,12.38,10.591822,85200
2025-05-07,12.36,10.57471,54200
2025-05-08,12.785,10.938322,105600
2025-05-09,12.97,11.096602,26000
2025-05-12,13.395,11.460216,80000
