date,close,adj_close,volume
2016-09-12,8.19,3.956233,5100
2016-09-13,8.06,3.893435,2000
2016-09-14,8.06,3.893435,0
2016-09-15,8.11,3.917588,13800
2016-09-16,8.15,3.936909,4800
2016-09-19,8.12,3.92242,1200
2016-09-20,8.12,3.92242,100
2016-09-21,8.18,3.951401,4200
2016-09-22,8.18,3.951401,0
2016-09-23,8.21,3.965892,2600
2016-09-26,8.21,3.965892,0
2016-09-27,8.21,3.965892,0
2016-09-28,8.17,3.972702,1400
2016-09-29,8.2,3.987288,6200
2016-09-30,8.23,4.001877,2000
2016-10-03,8.21,3.992151,1300
2016-10-04,8.21,3.992151,400
2016-10-05,8.21,3.992151,500
2016-10-06,8.17,3.972702,13700
2016-10-07,8.17,3.972702,0
2016-10-11,8.17,3.972702,0
2016-10-12,8.21,3.992151,500
2016-10-13,8.13,3.953251,3200
2016-10-14,8.29,4.031053,4600
2016-10-17,8.16,3.967839,5300
2016-10-18,8.18,3.977563,1500
2016-10-19,8.21,3.992151,6000
2016-10-20,8.18,3.977563,2000
2016-10-21,8.25,4.0116,3300
2016-10-24,8.33,4.050501,2000
2016-10-25,8.33,4.050501,0
2016-10-26,8.28,4.026191,4300
2016-10-27,8.24,4.033043,5700
2016-10-28,8.21,4.018357,24900
2016-10-31,8.22,4.023254,12700
2016-11-01,8.15,3.988991,6100
2016-11-02,8.14,3.984096,1300
2016-11-03,8.12,3.974309,1400
2016-11-04,8.11,3.969415,7700
2016-11-07,8.24,4.033043,16100
2016-11-08,8.27,4.047727,3300
2016-11-09,8.3,4.06241,5100
2016-11-10,8.33,4.07709,3600
2016-11-11,8.3,4.06241,5500
2016-11-14,8.28,4.05262,400
2016-11-15,8.32,4.072199,13700
2016-11-16,8.31,4.067304,10500
2016-11-17,8.37,4.09667,8900
2016-11-18,8.33,4.07709,14000
2016-11-21,8.42,4.121142,5000
2016-11-22,8.42,4.121142,800
2016-11-23,8.46,4.140719,5900
2016-11-24,8.44,4.130931,2000
2016-11-25,8.49,4.155403,600
2016-11-28,8.45,4.162299,10700
2016-11-29,8.45,4.162299,12300
2016-11-30,8.42,4.147521,43700
2016-12-01,8.37,4.122894,7300
2016-12-02,8.4,4.137672,27400
2016-12-05,8.42,4.147521,1800
2016-12-06,8.44,4.157373,6000
2016-12-07,8.53,4.201705,27500
2016-12-08,8.6,4.236185,12100
2016-12-09,8.56,4.216484,20500
2016-12-12,8.62,4.246037,7400
2016-12-13,8.67,4.270666,6900
2016-12-14,8.67,4.270666,1700
2016-12-15,8.67,4.270666,18000
2016-12-16,8.71,4.290371,100
2016-12-19,8.67,4.270666,9200
2016-12-20,8.7,4.285446,2300
2016-12-21,8.65,4.260816,8300
2016-12-22,8.64,4.255889,1300
2016-12-23,8.63,4.250965,1300
2016-12-28,8.59,4.257906,3600
2016-12-29,8.59,4.257906,0
2016-12-30,8.59,4.257906,0
2017-01-03,8.57,4.247989,200
2017-01-04,8.57,4.247989,0
2017-01-05,8.59,4.257906,2000
2017-01-06,8.65,4.287644,300
2017-01-09,8.61,4.267818,2500
2017-01-10,8.56,4.243035,4400
2017-01-11,8.62,4.272771,200
2017-01-12,8.6,4.26286,2500
2017-01-13,8.64,4.282686,400
2017-01-16,8.6,4.26286,2500
2017-01-17,8.63,4.277731,3600
2017-01-18,8.61,4.267818,700
2017-01-19,8.56,4.243035,4200
2017-01-20,8.56,4.243035,0
2017-01-23,8.57,4.247989,400
2017-01-24,8.69,4.307471,1000
2017-01-25,8.72,4.32234,6600
2017-01-26,8.75,4.337212,3300
2017-01-27,8.73,4.354169,8100
2017-01-30,8.6,4.289333,300
2017-01-31,8.57,4.274368,4500
2017-02-01,8.56,4.269382,4800
2017-02-02,8.53,4.254417,100
2017-02-03,8.62,4.299307,1000
2017-02-06,8.67,4.324244,15600
2017-02-07,8.67,4.324244,0
2017-02-08,8.67,4.324244,5300
2017-02-09,8.71,4.344197,6300
2017-02-10,8.69,4.33422,800
2017-02-13,8.78,4.379109,1300
2017-02-14,8.76,4.369133,1900
2017-02-15,8.81,4.394074,700
2017-02-16,8.8,4.389085,3400
2017-02-17,8.8,4.389085,0
2017-02-21,8.88,4.428984,2700
2017-02-22,8.91,4.443949,7800
2017-02-23,8.91,4.443949,200
2017-02-24,8.81,4.420866,4500
2017-02-27,8.8,4.415847,7700
2017-02-28,8.83,4.4309,2100
2017-03-01,8.93,4.481078,10000
2017-03-02,8.89,4.461007,1400
2017-03-03,8.89,4.461007,2200
2017-03-06,8.89,4.461007,0
2017-03-07,8.83,4.4309,3000
2017-03-08,8.87,4.450974,1000
2017-03-09,8.83,4.4309,1800
2017-03-10,8.88,4.455989,4100
2017-03-13,8.88,4.455989,0
2017-03-14,8.82,4.425882,1100
2017-03-15,8.86,4.445953,4900
2017-03-16,8.91,4.471044,2000
2017-03-17,8.91,4.471044,2600
2017-03-20,8.89,4.461007,3000
2017-03-21,8.79,4.410827,7100
2017-03-22,8.75,4.390758,3100
2017-03-23,8.8,4.415847,7200
2017-03-24,8.77,4.400792,11500
2017-03-27,8.74,4.385738,700
2017-03-28,8.74,4.385738,0
2017-03-29,8.75,4.418054,9600
2017-03-30,8.81,4.44835,1200
2017-03-31,8.8,4.443301,6600
2017-04-03,8.77,4.428151,11000
2017-04-04,8.77,4.428151,4100
2017-04-05,8.78,4.433199,16300
2017-04-06,8.76,4.423103,5400
2017-04-07,8.74,4.413004,700
2017-04-10,8.74,4.413004,6100
2017-04-11,8.7,4.392808,2400
2017-04-12,8.73,4.407955,1400
2017-04-13,8.7,4.392808,900
2017-04-17,8.77,4.428151,6500
2017-04-18,8.75,4.418054,1800
2017-04-19,8.75,4.418054,200
2017-04-20,8.78,4.433199,8500
2017-04-21,8.72,4.402905,15000
2017-04-24,8.85,4.468546,4500
2017-04-25,8.91,4.498842,3900
2017-04-26,8.86,4.500873,5500
2017-04-27,8.8,4.470391,2100
2017-04-28,8.81,4.475472,500
