date,close,adj_close,volume
2016-09-12,11.42,6.575766,4500
2016-09-13,11.36,6.541225,8100
2016-09-14,11.38,6.552737,5300
2016-09-15,11.28,6.495153,3050
2016-09-16,11.3,6.506672,1450
2016-09-19,11.36,6.541225,650
2016-09-20,11.28,6.495153,3650
2016-09-21,11.44,6.587286,6150
2016-09-22,11.46,6.598806,3600
2016-09-23,11.44,6.587286,2350
2016-09-26,11.54,6.644865,1950
2016-09-27,11.46,6.598806,1100
2016-09-28,11.38,6.579145,6000
2016-09-29,11.32,6.544456,1350
2016-09-30,11.34,6.556021,2150
2016-10-03,11.32,6.544456,2700
2016-10-04,10.96,6.336334,5050
2016-10-05,10.86,6.278517,15500
2016-10-06,10.76,6.220701,5300
2016-10-07,10.74,6.209142,3100
2016-10-11,10.76,6.220701,3950
2016-10-12,10.8,6.243832,3750
2016-10-13,10.86,6.278517,100
2016-10-14,10.82,6.255393,6600
2016-10-17,10.76,6.220701,5950
2016-10-18,10.88,6.290078,3050
2016-10-19,10.96,6.336334,1300
2016-10-20,10.92,6.313204,900
2016-10-21,10.84,6.266957,4950
2016-10-24,10.9,6.301642,1000
2016-10-25,10.9,6.301642,1850
2016-10-26,10.88,6.290078,5250
2016-10-27,10.92,6.338838,1150
2016-10-28,10.94,6.350451,4250
2016-10-31,10.92,6.338838,450
2016-11-01,11.06,6.42011,4400
2016-11-02,11.06,6.42011,1600
2016-11-03,11.08,6.431715,5650
2016-11-04,11.14,6.466543,4250
2016-11-07,10.92,6.338838,2950
2016-11-08,10.88,6.315621,2150
2016-11-09,10.9,6.32723,3850
2016-11-10,10.72,6.222742,19450
2016-11-11,10.44,6.06021,17700
2016-11-14,10.46,6.07182,2550
2016-11-15,10.54,6.118263,5250
2016-11-16,10.5,6.095037,100
2016-11-17,10.36,6.01377,1200
2016-11-18,10.32,5.990553,5500
2016-11-21,10.4,6.03699,1000
2016-11-22,10.36,6.01377,2200
2016-11-23,10.22,5.932505,7000
2016-11-24,10.14,5.886066,4150
2016-11-25,10.18,5.909286,7400
2016-11-28,10.22,5.957082,3000
2016-11-29,10.16,5.922107,300
2016-11-30,10.04,5.852162,5500
2016-12-01,10.06,5.86382,8550
2016-12-02,10.08,5.875476,4100
2016-12-05,10.06,5.86382,2150
2016-12-06,9.96,5.805531,3850
2016-12-07,10.06,5.86382,11950
2016-12-08,10.0,5.828846,4500
2016-12-09,9.92,5.782216,6500
2016-12-12,9.94,5.793874,2150
2016-12-13,9.9,5.770559,13750
2016-12-14,9.74,5.677297,115600
2016-12-15,9.6,5.595693,10350
2016-12-16,9.7,5.653981,22250
2016-12-19,9.7,5.653981,9350
2016-12-20,9.66,5.630663,11900
2016-12-21,9.68,5.642326,4000
2016-12-22,9.64,5.61901,6800
2016-12-23,9.72,5.66564,3000
2016-12-28,9.76,5.712467,1350
2016-12-29,9.9,5.794404,8600
2016-12-30,9.82,5.74758,1950
2017-01-03,9.84,5.759285,3900
2017-01-04,9.94,5.817815,2250
2017-01-05,10.04,5.876345,7450
2017-01-06,10.0,5.852934,2950
2017-01-09,10.08,5.899754,7100
2017-01-10,10.06,5.888051,2950
2017-01-11,10.06,5.888051,7300
2017-01-12,10.12,5.923168,4450
2017-01-13,10.14,5.934875,6600
2017-01-16,10.1,5.911462,6200
2017-01-17,10.18,5.958288,4250
2017-01-18,10.22,5.981699,1950
2017-01-19,10.16,5.946578,2800
2017-01-20,10.16,5.946578,1250
2017-01-23,10.22,5.981699,7200
2017-01-24,10.14,5.934875,7350
2017-01-25,10.12,5.923168,4100
2017-01-26,10.0,5.852934,3050
2017-01-27,10.04,5.899943,7800
2017-01-30,10.02,5.888191,9050
2017-01-31,10.12,5.946953,5850
2017-02-01,10.1,5.935203,5850
2017-02-02,10.16,5.970459,2650
2017-02-03,10.14,5.958709,3800
2017-02-06,10.28,6.040979,5650
2017-02-07,10.3,6.052732,2300
2017-02-08,10.3,6.052732,2400
2017-02-09,10.26,6.029227,6000
2017-02-10,10.26,6.029227,2050
2017-02-13,10.22,6.005722,10300
2017-02-14,10.22,6.005722,800
2017-02-15,10.24,6.017475,2000
2017-02-16,10.38,6.099743,1900
2017-02-17,10.3,6.052732,2400
2017-02-21,10.36,6.087991,1050
2017-02-22,10.36,6.087991,1750
2017-02-23,10.44,6.135001,2050
2017-02-24,10.38,6.123204,4100
2017-02-27,10.34,6.099607,9950
2017-02-28,10.36,6.111407,3550
2017-03-01,10.38,6.123204,2350
2017-03-02,10.24,6.04062,4250
2017-03-03,10.2,6.017023,11150
2017-03-06,10.22,6.028821,2750
2017-03-07,10.1,5.95803,2750
