date,close,adj_close,volume
2016-09-12,8.55,3.55934,19800
2016-09-13,8.5,3.538526,4900
2016-09-14,8.42,3.505222,6400
2016-09-15,8.52,3.546852,14800
2016-09-16,8.48,3.530202,9500
2016-09-19,8.5,3.538526,20800
2016-09-20,8.55,3.55934,19000
2016-09-21,8.56,3.563505,13400
2016-09-22,8.67,3.609299,30000
2016-09-23,8.61,3.584318,11700
2016-09-26,8.55,3.55934,26000
2016-09-27,8.64,3.596808,13600
2016-09-28,8.6,3.580156,20000
2016-09-29,8.42,3.505222,32700
2016-09-30,8.5,3.538526,12200
2016-10-03,8.52,3.546852,29600
2016-10-04,8.41,3.501059,6100
2016-10-05,8.45,3.517712,2500
2016-10-06,8.42,3.505222,22200
2016-10-07,8.51,3.542691,9500
2016-10-11,8.24,3.43029,52500
2016-10-12,8.24,3.43029,45200
2016-10-13,8.23,3.426125,89300
2016-10-14,8.28,3.446942,31600
2016-10-17,8.14,3.388659,29800
2016-10-18,8.27,3.442777,93300
2016-10-19,8.3,3.455268,25800
2016-10-20,8.34,3.471919,30900
2016-10-21,8.29,3.451105,32900
2016-10-24,8.29,3.451105,42300
2016-10-25,8.24,3.43029,22800
2016-10-26,8.14,3.388659,0
2016-10-27,8.14,3.412978,0
2016-10-28,7.85,3.291387,146100
2016-10-31,7.86,3.295578,46300
2016-11-01,7.82,3.278806,65600
2016-11-02,7.83,3.283,41100
2016-11-03,7.69,3.224301,28900
2016-11-04,7.78,3.262035,31100
2016-11-07,7.9,3.31235,65600
2016-11-08,7.89,3.308158,44700
2016-11-09,8.15,3.417172,165100
2016-11-10,8.24,3.454907,167600
2016-11-11,8.15,3.417172,73800
2016-11-14,8.07,3.383627,70900
2016-11-15,8.04,3.37105,46900
2016-11-16,8.03,3.366858,25400
2016-11-17,8.07,3.383627,48800
2016-11-18,7.99,3.350087,81100
2016-11-21,8.01,3.358469,47200
2016-11-22,7.9,3.31235,90700
2016-11-23,7.91,3.316542,92100
2016-11-24,7.95,3.333314,32300
2016-11-25,8.0,3.354279,54900
2016-11-28,7.85,3.315423,60700
2016-11-29,7.87,3.323869,41400
2016-11-30,7.82,3.302752,56100
2016-12-01,7.69,3.247845,120100
2016-12-02,7.77,3.281633,93500
2016-12-05,7.8,3.294306,42700
2016-12-06,7.77,3.281633,69800
2016-12-07,7.72,3.260517,79200
2016-12-08,7.73,3.26474,46000
2016-12-09,7.88,3.328092,49200
2016-12-12,7.9,3.33654,71900
2016-12-13,7.99,3.374551,69400
2016-12-14,7.95,3.357659,63500
2016-12-15,7.97,3.366103,70200
2016-12-16,7.98,3.370328,52100
2016-12-19,8.0,3.378774,53700
2016-12-20,7.98,3.370328,88400
2016-12-21,7.98,3.370328,46900
2016-12-22,7.95,3.357659,36900
2016-12-23,8.02,3.387222,72600
2016-12-28,7.93,3.373607,13800
2016-12-29,7.95,3.382117,30900
2016-12-30,7.92,3.369356,21500
2017-01-03,8.03,3.416151,44800
2017-01-04,8.07,3.433167,44900
2017-01-05,8.11,3.450184,49400
2017-01-06,8.11,3.450184,42700
2017-01-09,8.15,3.467201,34200
2017-01-10,8.13,3.458693,35400
2017-01-11,8.09,3.441676,83200
2017-01-12,8.08,3.437422,81900
2017-01-13,8.11,3.450184,78000
2017-01-16,8.16,3.471455,46100
2017-01-17,8.04,3.420406,327900
2017-01-18,8.08,3.437422,122300
2017-01-19,8.03,3.416151,43500
2017-01-20,8.0,3.403387,81400
2017-01-23,7.96,3.38637,235500
2017-01-24,7.89,3.356591,259500
2017-01-25,7.97,3.390623,151300
2017-01-26,7.93,3.373607,158000
2017-01-27,7.92,3.394179,104400
2017-01-30,7.9,3.385607,123500
2017-01-31,7.99,3.424178,212400
2017-02-01,8.02,3.437035,58200
2017-02-02,8.04,3.445605,149100
2017-02-03,8.1,3.471318,135500
2017-02-06,8.12,3.47989,69400
2017-02-07,8.09,3.467033,79100
2017-02-08,8.11,3.475604,92900
2017-02-09,8.15,3.492746,181700
2017-02-10,8.15,3.492746,86300
2017-02-13,8.18,3.505604,328900
2017-02-14,8.23,3.52703,93100
2017-02-15,8.28,3.54846,130500
2017-02-16,8.29,3.552744,158900
2017-02-17,8.3,3.557031,123400
2017-02-21,8.34,3.574174,142600
2017-02-22,8.29,3.552744,143500
2017-02-23,8.36,3.582744,204300
2017-02-24,8.34,3.599144,72000
2017-02-27,8.37,3.612089,121600
2017-02-28,8.34,3.599144,92100
2017-03-01,8.42,3.633667,102700
2017-03-02,8.42,3.633667,130300
2017-03-03,8.44,3.642299,95000
2017-03-06,8.42,3.633667,61400
2017-03-07,8.37,3.612089,71300
2017-03-08,8.39,3.62072,30200
2017-03-09,8.44,3.642299,51100
2017-03-10,8.46,3.65093,33500
2017-03-13,8.46,3.65093,69000
2017-03-14,8.42,3.633667,41400
2017-03-15,8.54,3.685454,62000
2017-03-16,8.49,3.663877,53100
2017-03-17,8.46,3.65093,40700
2017-03-20,8.44,3.642299,140000
2017-03-21,8.38,3.616405,71100
2017-03-22,8.38,3.616405,51500
2017-03-23,8.36,3.607774,106700
2017-03-24,8.36,3.607774,117000
2017-03-27,8.4,3.625036,182500
2017-03-28,8.4,3.625036,114100
2017-03-29,8.33,3.619822,56300
2017-03-30,8.34,3.624168,44900
2017-03-31,8.34,3.624168,10000
2017-04-03,8.3,3.606786,41300
2017-04-04,8.29,3.602439,109700
2017-04-05,8.28,3.598095,47200
2017-04-06,8.24,3.580712,93600
2017-04-07,8.3,3.606786,53000
2017-04-10,8.25,3.585057,62800
2017-04-11,8.26,3.589403,107400
2017-04-12,8.29,3.602439,69300
2017-04-13,8.23,3.576365,74400
2017-04-17,8.27,3.593749,53100
2017-04-18,8.21,3.567674,77600
2017-04-19,8.21,3.567674,79500
2017-04-20,8.29,3.602439,77000
2017-04-21,8.26,3.589403,81500
2017-04-24,8.35,3.628513,89800
2017-04-25,8.4,3.65024,41300
2017-04-26,8.39,3.671244,57700
2017-04-27,8.41,3.679996,30900
2017-04-28,8.4,3.675619,61500
2017-05-01,8.43,3.688747,32100
2017-05-02,8.45,3.697497,54400
2017-05-03,8.43,3.688747,42700
2017-05-04,8.48,3.710627,69100
2017-05-05,8.48,3.710627,37200
2017-05-08,8.42,3.684372,68000
2017-05-09,8.44,3.693123,60100
2017-05-10,8.42,3.684372,65600
2017-05-11,8.4,3.675619,37700
2017-05-12,8.43,3.688747,40400
2017-05-15,8.48,3.710627,56100
2017-05-16,8.48,3.710627,60000
2017-05-17,8.38,3.666868,95700
2017-05-18,8.37,3.662492,53000
2017-05-19,8.41,3.679996,35700
2017-05-23,8.44,3.693123,25800
2017-05-24,8.48,3.710627,19100
2017-05-25,8.49,3.715001,93800
2017-05-26,8.48,3.710627,34500
2017-05-29,8.46,3.72737,36100
2017-05-30,8.44,3.718556,68700
2017-05-31,8.46,3.72737,25200
2017-06-01,8.54,3.762615,26300
2017-06-02,8.56,3.771427,33700
2017-06-05,8.53,3.758209,50200
2017-06-06,8.52,3.753804,63200
2017-06-07,8.54,3.762615,64400
2017-06-08,8.53,3.758209,69900
2017-06-09,8.56,3.771427,40700
2017-06-12,8.56,3.771427,29200
2017-06-13,8.55,3.767021,45200
2017-06-14,8.6,3.789049,126900
2017-06-15,8.58,3.780238,57600
2017-06-16,8.61,3.793456,69900
2017-06-19,8.65,3.811079,108200
2017-06-20,8.68,3.824298,79600
2017-06-21,8.76,3.859544,151800
2017-06-22,8.86,3.903602,84300
2017-06-23,8.85,3.899197,98900
2017-06-26,8.84,3.894791,70700
2017-06-27,8.77,3.86395,126500
2017-06-28,8.75,3.880805,57200
2017-06-29,8.68,3.849759,61200
2017-06-30,8.66,3.840889,39500
2017-07-04,8.73,3.871932,16000
2017-07-05,8.72,3.867499,90400
2017-07-06,8.63,3.82758,61300
2017-07-07,8.67,3.845324,24000
2017-07-10,8.63,3.82758,33500
2017-07-11,8.61,3.818711,36300
2017-07-12,8.67,3.845324,30200
2017-07-13,8.65,3.836452,22100
2017-07-14,8.74,3.876369,127500
2017-07-17,8.68,3.849759,39100
2017-07-18,8.7,3.858629,70500
2017-07-19,8.75,3.880805,42400
2017-07-20,8.77,3.889674,32000
2017-07-21,8.76,3.885238,30300
2017-07-24,8.77,3.889674,16400
2017-07-25,8.72,3.867499,60400
2017-07-26,8.695,3.85641,52600
2017-07-27,8.55,3.817565,79400
2017-07-28,8.61,3.844354,17600
2017-07-31,8.6,3.839889,31200
2017-08-01,8.56,3.822031,10300
2017-08-02,8.57,3.826494,23600
