date,close,adj_close,volume
2022-06-13,9.53,7.002452,7100
2022-06-14,9.51,6.987758,15200
2022-06-15,9.51,6.987758,3400
2022-06-16,9.25,6.796714,11400
2022-06-17,9.23,6.78202,17600
2022-06-20,9.37,6.884888,2600
2022-06-21,9.37,6.884888,41300
2022-06-22,9.3,6.833456,19900
2022-06-23,9.15,6.723237,32800
2022-06-24,9.3,6.833456,41900
2022-06-27,9.36,6.877542,18800
2022-06-28,9.39,6.899584,16200
2022-06-29,9.37,6.884888,20400
2022-06-30,9.25,6.796714,5300
2022-07-04,9.4,6.906934,8500
2022-07-05,9.19,6.752629,14600
2022-07-06,9.22,6.774672,10500
2022-07-07,9.35,6.870191,61300
2022-07-08,9.36,6.877542,3600
2022-07-11,9.31,6.840801,2900
2022-07-12,9.25,6.796714,12300
2022-07-13,9.26,6.804064,26800
2022-07-14,9.11,6.693843,8400
2022-07-15,9.1,6.686498,46800
2022-07-18,9.19,6.752629,5800
2022-07-19,9.29,6.826105,5100
2022-07-20,9.28,6.818757,48300
2022-07-21,9.28,6.818757,10100
2022-07-22,9.28,6.818757,9000
2022-07-25,9.32,6.848149,12600
2022-07-26,9.28,6.818757,13100
2022-07-27,9.35,6.870191,11500
2022-07-28,9.37,6.927864,2800
2022-07-29,9.45,6.987012,7400
2022-08-02,9.39,6.94265,8000
2022-08-03,9.38,6.935256,30700
2022-08-04,9.42,6.964831,9100
2022-08-05,9.4,6.950047,4800
2022-08-08,9.43,6.972225,6300
2022-08-09,9.45,6.987012,7400
2022-08-10,9.55,7.06095,7400
2022-08-11,9.58,7.083129,18200
2022-08-12,9.64,7.127492,11000
2022-08-15,9.67,7.149674,11300
2022-08-16,9.71,7.17925,9000
2022-08-17,9.66,7.142279,8300
2022-08-18,9.72,7.186642,3700
2022-08-19,9.69,7.164459,5100
2022-08-22,9.62,7.112707,14600
2022-08-23,9.6,7.097917,18100
2022-08-24,9.6,7.097917,5400
2022-08-25,9.63,7.1201,14700
2022-08-26,9.53,7.046162,31300
2022-08-29,9.51,7.031374,7200
2022-08-30,9.33,6.940617,21400
2022-08-31,9.24,6.873667,9200
2022-09-01,9.19,6.836473,18800
2022-09-02,9.26,6.888546,7200
2022-09-06,9.18,6.829033,31400
2022-09-07,9.25,6.881105,2200
2022-09-08,9.32,6.933179,900
2022-09-09,9.43,7.015008,7600
2022-09-12,9.53,7.089401,4300
2022-09-13,9.39,6.985255,22300
2022-09-14,9.4,6.992691,8200
2022-09-15,9.34,6.948056,9900
2022-09-16,9.3,6.918303,9300
2022-09-19,9.38,6.977816,9300
2022-09-20,9.28,6.903423,126300
