date,close,adj_close,volume
2025-10-01,14.0,9.815177,12300
2025-10-02,15.06,10.558325,17100
2025-10-03,15.38,10.782674,15800
2025-10-06,14.89,10.43914,16800
2025-10-07,14.96,10.488218,8300
2025-10-08,15.7,11.007019,12300
2025-10-09,15.98,11.203323,10900
2025-10-10,14.29,10.018491,44000
2025-10-14,13.85,9.710014,22200
2025-10-15,13.76,9.646916,16400
2025-10-16,13.46,9.436591,14100
2025-10-17,13.17,9.233276,12700
2025-10-20,14.0,9.815177,17900
2025-10-21,13.42,9.408547,22700
2025-10-22,12.76,8.945832,51600
2025-10-23,13.67,9.583818,8300
2025-10-24,14.29,10.018491,6300
2025-10-27,15.0,10.516259,7100
2025-10-28,14.93,10.467184,3300
2025-10-29,14.75,10.340989,7600
2025-10-30,14.065,9.860746,6100
2025-10-31,14.89,10.666656,36200
2025-11-03,14.81,10.609346,10000
2025-11-04,13.8,9.885819,14900
2025-11-05,14.49,10.38011,4200
2025-11-06,12.58,9.011856,31200
2025-11-07,12.86,9.212437,17700
2025-11-10,13.55,9.706729,15800
2025-11-11,13.05,9.348546,10500
2025-11-12,13.22,9.470328,37200
2025-11-13,11.86,8.496073,38700
2025-11-14,12.03,8.617856,12800
2025-11-17,11.23,8.044765,7400
2025-11-18,11.015,7.890747,6500
2025-11-19,11.61,8.316981,4100
2025-11-20,10.13,7.256765,22900
2025-11-21,10.25,7.342728,8400
2025-11-24,11.15,7.987455,3900
2025-11-25,11.23,8.044765,7700
2025-11-26,12.54,8.9832,48300
2025-11-27,12.83,9.190947,14700
2025-11-28,12.35,9.058915,15100
2025-12-01,11.5,8.435426,10000
2025-12-02,12.0,8.802183,13300
2025-12-03,12.77,9.366989,16200
2025-12-04,13.05,9.572373,3100
2025-12-05,12.45,9.132265,28300
2025-12-08,12.89,9.455011,8900
2025-12-09,12.82,9.403666,7000
2025-12-10,12.77,9.366989,9100
2025-12-11,11.6,8.508779,54400
2025-12-12,11.23,8.237377,9400
2025-12-15,10.73,7.870618,17600
2025-12-16,11.18,8.200701,6100
2025-12-17,10.87,7.973311,9200
2025-12-18,10.98,8.053998,4600
2025-12-19,11.45,8.398748,6200
2025-12-22,11.505,8.439094,11000
2025-12-23,11.28,8.274053,4200
2025-12-24,11.28,8.274053,5100
2025-12-29,10.99,8.061334,8600
2025-12-30,10.78,7.907295,28000
2025-12-31,10.225,7.714895,11000
2026-01-02,10.46,7.892205,13900
2026-01-05,11.31,8.533542,18500
2026-01-06,11.18,8.435453,5900
2026-01-07,10.76,8.11856,19200
2026-01-08,10.62,8.012928,3300
2026-01-09,10.65,8.035561,2700
2026-01-12,10.9,8.224191,5000
2026-01-13,11.16,8.420363,18200
2026-01-14,11.09,8.367547,6600
2026-01-15,10.13,7.643215,54000
2026-01-16,9.975,7.526266,18000
2026-01-19,9.9,7.469676,10000
2026-01-20,9.57,7.220688,21900
2026-01-21,9.65,7.281049,3300
2026-01-22,9.61,7.250869,13100
2026-01-23,9.7,7.318776,9800
2026-01-26,9.7,7.318776,3500
2026-01-27,9.39,7.084876,34300
2026-01-28,9.2,6.941519,22300
2026-01-29,8.9,6.715164,20700
2026-01-30,8.54,6.668314,5800
2026-02-02,7.5,5.856248,34400
2026-02-03,7.22,5.637615,6000
2026-02-04,6.54,5.106648,33200
2026-02-05,5.76,4.497599,12700
2026-02-06,6.65,5.19254,187400
2026-02-09,7.065,5.516586,14400
2026-02-10,7.0,5.465831,9000
2026-02-11,6.29,4.91144,41700
2026-02-12,5.645,4.407803,45000
2026-02-13,6.07,4.739656,11500
2026-02-17,6.055,4.727944,32200
2026-02-18,6.08,4.747465,5900
2026-02-19,6.1,4.763082,21000
2026-02-20,6.15,4.802124,8600
2026-02-23,5.76,4.497599,20100
2026-02-24,5.905,4.61082,9300
2026-02-25,6.28,4.903632,71300
2026-02-26,6.45,5.036374,24200
2026-02-27,5.89,4.761515,16900
2026-03-02,6.155,4.975743,21600
2026-03-03,5.94,4.801935,17100
2026-03-04,6.455,5.218265,41100
2026-03-05,6.335,5.121256,6400
2026-03-06,6.0,4.85044,42800
2026-03-09,6.18,4.995953,23100
2026-03-10,6.15,4.971701,25900
2026-03-11,6.15,4.971701,28800
2026-03-12,5.99,4.842356,25300
2026-03-13,5.8,4.688759,39500
2026-03-16,5.95,4.810019,10900
2026-03-17,6.15,4.971701,11900
2026-03-18,5.955,4.814061,11300
2026-03-19,5.9,4.769599,20000
2026-03-20,5.57,4.502825,31000
2026-03-23,5.74,4.640254,11500
2026-03-24,5.46,4.413901,13600
2026-03-25,5.79,4.680675,33700
2026-03-26,5.6,4.527077,6600
2026-03-27,5.22,4.219882,54500
2026-03-30,5.15,4.163294,10100
2026-03-31,5.285,4.463085,9600
2026-04-01,5.38,4.543311,34200
2026-04-02,5.27,4.450418,16800
2026-04-06,5.365,4.530644,7600
2026-04-07,5.325,4.496864,18100
2026-04-08,5.5,4.644649,17900
2026-04-09,5.345,4.513754,8900
2026-04-10,5.29,4.467308,8600
2026-04-13,5.47,4.619314,2700
2026-04-14,6.02,5.083779,14100
2026-04-15,6.57,5.548244,30200
2026-04-16,6.545,5.527132,19500
2026-04-17,6.79,5.73403,7200
2026-04-20,6.78,5.725585,8300
2026-04-21,6.41,5.413127,6300
2026-04-22,6.54,5.52291,5000
2026-04-23,6.2,5.235786,12900
2026-04-24,6.27,5.2949,8200
2026-04-27,6.24,5.269565,59600
2026-04-28,6.115,5.164005,18700
2026-04-29,5.23,4.416638,246100
2026-04-30,5.14,4.531242,15100
2026-05-01,5.17,4.55769,29400
2026-05-04,5.4,4.760448,23300
2026-05-05,5.45,4.804527,77100
2026-05-06,5.62,4.954393,19700
2026-05-07,5.4,4.760448,32200
2026-05-08,5.46,4.813344,15000
2026-05-11,5.77,5.086628,23800
2026-05-12,5.58,4.91913,18200
2026-05-13,5.475,4.826567,17600
2026-05-14,5.8,5.113075,28400
2026-05-15,5.52,4.866237,18600
2026-05-19,5.32,4.689924,56800
2026-05-20,5.43,4.786896,18300
2026-05-21,5.47,4.822158,11500
2026-05-22,5.3,4.672293,29700
2026-05-25,5.55,4.892684,44400
2026-05-26,5.36,4.725186,93000
2026-05-27,5.53,4.875052,31500
2026-05-28,6.11,5.38636,48600
2026-05-29,6.5,5.924084,56100
2026-06-01,6.34,5.778261,48700
2026-06-02,6.15,5.605095,14800
2026-06-03,5.87,5.349904,18000
2026-06-04,6.23,5.678007,29500
2026-06-05,5.84,5.322562,32000
2026-06-08,6.07,5.532183,14300
2026-06-09,5.98,5.450158,18600
2026-06-10,6.14,5.595981,26600
2026-06-11,6.55,5.969655,37900
2026-06-12,6.6,6.015224,18900
2026-06-15,6.91,6.297757,23600
2026-06-16,6.86,6.252187,10800
2026-06-17,7.39,6.735229,37600
2026-06-18,7.61,6.935736,11400
2026-06-19,7.57,6.89928,1900
2026-06-22,7.42,6.76257,109600
2026-06-23,7.33,6.680544,5300
2026-06-24,6.94,6.325099,14100
2026-06-25,6.63,6.042566,12800
2026-06-26,7.04,6.416239,19600
2026-06-29,7.22,6.58029,17800
2026-06-30,6.96,6.524049,6300
2026-07-02,7.74,7.255192,58200
2026-07-03,7.83,7.339555,17800
2026-07-06,8.05,7.545775,28900
2026-07-07,7.81,7.320808,3100
2026-07-08,7.76,7.27394,8700
2026-07-09,7.91,7.414544,2900
2026-07-10,7.72,7.236445,14100
2026-07-13,7.56,7.086467,11600
2026-07-14,7.78,7.292687,6500
2026-07-15,7.93,7.433291,14000
2026-07-16,7.27,6.814631,8700
2026-07-17,6.75,6.327203,26700
2026-07-20,6.73,6.308455,8500
2026-07-21,7.29,6.833379,8400
2026-07-22,7.17,6.720895,7000
