date,close,adj_close,volume
2024-01-17,11.82,9.490611,6300
2024-01-18,11.81,9.48258,300
2024-01-19,11.85,9.514697,76700
2024-01-22,11.88,9.538787,14000
2024-01-23,11.87,9.530757,10000
2024-01-24,11.86,9.522723,4400
2024-01-25,11.88,9.538787,400
2024-01-26,11.85,9.514697,2100
2024-01-29,11.89,9.546815,4500
2024-01-30,11.93,9.578932,4700
2024-01-31,11.97,9.61105,12400
2024-02-01,12.03,9.659225,13200
2024-02-02,11.92,9.570903,15600
2024-02-05,11.82,9.490611,12000
2024-02-06,11.88,9.538787,9400
2024-02-07,11.85,9.514697,11900
2024-02-08,11.82,9.490611,3900
2024-02-09,11.8,9.474551,5700
2024-02-12,11.82,9.490611,12700
2024-02-13,11.69,9.38623,7900
2024-02-14,11.74,9.426376,5800
2024-02-15,11.76,9.442432,16600
2024-02-16,11.7,9.394257,13300
2024-02-20,11.73,9.418344,12100
2024-02-21,11.71,9.402288,11900
2024-02-22,11.7,9.394257,5500
2024-02-23,11.75,9.434404,6300
2024-02-26,11.73,9.418344,58000
2024-02-27,11.72,9.410315,1600
2024-02-28,11.66,9.426484,3300
2024-02-29,11.69,9.450738,5200
2024-03-01,11.74,9.491161,9200
2024-03-04,11.71,9.466907,6200
2024-03-05,11.77,9.515417,6300
2024-03-06,11.79,9.531583,12600
2024-03-07,11.79,9.531583,900
2024-03-08,11.82,9.55584,7100
2024-03-11,11.8,9.539669,6200
2024-03-12,11.78,9.523499,29100
2024-03-13,11.75,9.499245,21900
2024-03-14,11.69,9.450738,3200
2024-03-15,11.68,9.442657,70000
2024-03-18,11.68,9.442657,9500
2024-03-19,11.67,9.434568,6700
2024-03-20,11.7,9.458821,19500
2024-03-21,11.7,9.458821,60700
2024-03-22,11.74,9.491161,10000
2024-03-25,11.73,9.483076,130000
2024-03-26,11.73,9.483076,32900
2024-03-27,11.69,9.515639,61300
2024-03-28,11.67,9.499357,25000
2024-04-01,11.6,9.442378,74700
2024-04-02,11.58,9.426094,4800
2024-04-03,11.6,9.442378,5800
2024-04-04,11.62,9.458657,7900
