date,close,adj_close,volume
2023-09-28,12.05,7.548845,44300
2023-09-29,12.0,7.517523,273000
2023-10-02,11.84,7.417289,40500
2023-10-03,11.61,7.273203,102300
2023-10-04,11.78,7.379699,132600
2023-10-05,11.71,7.335848,73200
2023-10-06,11.58,7.25441,148300
2023-10-10,11.83,7.411023,86200
2023-10-11,11.98,7.504994,44200
2023-10-12,11.74,7.35464,202200
2023-10-13,11.94,7.479934,64800
2023-10-16,11.76,7.367173,146700
2023-10-17,11.64,7.291995,212000
2023-10-18,11.54,7.229352,245900
2023-10-19,11.31,7.085263,144400
2023-10-20,11.37,7.122852,62800
2023-10-23,11.5,7.204293,60500
2023-10-24,11.63,7.285731,99800
2023-10-25,11.4,7.141647,183800
2023-10-26,11.54,7.229352,178800
2023-10-27,11.5,7.204293,107800
2023-10-30,11.33,7.191598,78300
2023-10-31,11.28,7.159858,66300
2023-11-01,11.47,7.28046,159200
2023-11-02,11.63,7.382018,127600
2023-11-03,11.68,7.413755,142300
2023-11-06,11.61,7.369323,51500
2023-11-07,11.72,7.439146,135000
2023-11-08,11.83,7.508967,106900
2023-11-09,11.68,7.413755,121500
2023-11-10,11.72,7.439146,88300
2023-11-13,11.7,7.426452,59000
2023-11-14,11.86,7.528007,171200
2023-11-15,11.76,7.464536,194000
2023-11-16,11.85,7.521661,134600
2023-11-17,11.91,7.559746,207800
2023-11-20,11.95,7.585135,176200
2023-11-21,11.94,7.578787,64100
2023-11-22,11.97,7.59783,69400
2023-11-23,12.1,7.680346,176200
2023-11-24,12.01,7.623219,274600
2023-11-27,12.03,7.635914,113100
2023-11-28,12.03,7.635914,140800
2023-11-29,11.97,7.693761,99700
2023-11-30,11.87,7.629488,154000
2023-12-01,12.0,7.713046,141600
2023-12-04,11.98,7.700188,112700
2023-12-05,12.1,7.777319,148300
2023-12-06,12.16,7.815886,119300
2023-12-07,12.14,7.80303,69400
2023-12-08,12.1,7.777319,97400
2023-12-11,12.11,7.783747,186600
2023-12-12,12.13,7.796606,127700
2023-12-13,12.23,7.860878,144300
2023-12-14,12.31,7.9123,192900
2023-12-15,12.34,7.931582,456100
2023-12-18,12.21,7.848023,217400
2023-12-19,12.26,7.88016,96500
2023-12-20,12.31,7.9123,124900
2023-12-21,12.26,7.88016,83300
2023-12-22,12.23,7.860878,213700
2023-12-27,12.39,7.96372,69600
2023-12-28,12.19,7.931186,120200
2023-12-29,12.12,7.885642,44200
2024-01-02,12.08,7.859618,165200
2024-01-03,12.12,7.885642,102500
2024-01-04,11.99,7.801062,126100
2024-01-05,11.92,7.755517,277500
2024-01-08,12.0,7.807568,139400
2024-01-09,11.96,7.781544,132800
2024-01-10,11.91,7.749011,203700
2024-01-11,11.97,7.788049,159500
2024-01-12,11.96,7.781544,127600
2024-01-15,11.99,7.801062,78400
2024-01-16,11.78,7.664426,415400
2024-01-17,11.76,7.651416,198100
2024-01-18,11.66,7.586353,154300
2024-01-19,11.69,7.60587,300000
2024-01-22,11.76,7.651416,169200
2024-01-23,11.7,7.612379,198100
2024-01-24,11.65,7.579848,161800
2024-01-25,11.72,7.625391,130900
2024-01-26,11.7,7.612379,131800
2024-01-29,11.81,7.683949,112900
2024-01-30,11.69,7.703717,115500
2024-01-31,11.79,7.769617,267700
2024-02-01,11.88,7.828927,176300
2024-02-02,11.77,7.756438,135800
2024-02-05,11.62,7.65759,284400
2024-02-06,11.69,7.703717,82200
2024-02-07,11.67,7.690538,34300
2024-02-08,11.62,7.65759,151500
2024-02-09,11.61,7.650998,55100
2024-02-12,11.62,7.65759,99000
2024-02-13,11.44,7.538967,375400
2024-02-14,11.5,7.578507,138000
2024-02-15,11.56,7.618046,239800
2024-02-16,11.5,7.578507,160000
2024-02-20,11.51,7.585097,82700
2024-02-21,11.45,7.545556,184600
2024-02-22,11.49,7.571918,201800
2024-02-23,11.61,7.650998,98400
2024-02-26,11.59,7.637818,209400
2024-02-27,11.53,7.598279,228000
2024-02-28,11.44,7.638337,227200
2024-02-29,11.49,7.671722,95500
2024-03-01,11.56,7.718462,240700
2024-03-04,11.53,7.698431,58100
2024-03-05,11.63,7.765199,166000
2024-03-06,11.67,7.791907,136500
2024-03-07,11.67,7.791907,128600
2024-03-08,11.66,7.785231,102000
2024-03-11,11.66,7.785231,178700
2024-03-12,11.61,7.751844,90000
2024-03-13,11.6,7.745169,178500
