date,close,adj_close,volume
2024-08-21,12.37,8.522501,6500
2024-08-22,12.37,8.522501,16600
2024-08-23,12.31,8.481163,24200
2024-08-26,12.28,8.460493,29400
2024-08-27,12.26,8.446713,4600
2024-08-28,12.22,8.419157,7900
2024-08-29,12.19,8.398488,3200
2024-08-30,12.38,8.529387,600
2024-09-03,12.4,8.543172,5400
2024-09-04,12.27,8.453605,9800
2024-09-05,11.88,8.184907,8700
2024-09-06,11.85,8.164238,3900
2024-09-09,11.9,8.198689,3300
2024-09-10,11.83,8.15046,4900
2024-09-11,12.02,8.281362,6400
2024-09-12,12.23,8.426044,600
2024-09-13,12.13,8.357149,3200
2024-09-16,12.16,8.377817,4500
2024-09-17,11.9,8.198689,3900
2024-09-18,11.93,8.219357,1100
2024-09-19,12.01,8.274471,2700
2024-09-20,12.15,8.370927,500
2024-09-23,12.02,8.281362,4600
2024-09-24,12.01,8.274471,4300
2024-09-25,12.04,8.295139,900
2024-09-26,11.86,8.171127,800
2024-09-27,11.4,7.961612,2800
2024-09-30,11.52,8.045421,900
2024-10-01,11.47,8.010497,800
2024-10-02,11.56,8.073354,800
2024-10-03,11.55,8.06637,0
2024-10-04,11.53,8.052403,800
2024-10-07,11.77,8.220016,3000
2024-10-08,11.97,8.359693,1600
2024-10-09,12.07,8.429532,6100
2024-10-10,11.99,8.373661,2300
2024-10-11,12.22,8.534291,1200
2024-10-15,12.07,8.429532,4200
2024-10-16,12.08,8.436516,1800
2024-10-17,12.17,8.499371,800
2024-10-18,12.18,8.506355,9200
2024-10-21,12.09,8.443501,3400
2024-10-22,12.11,8.457468,2700
2024-10-23,12.0,8.380644,1800
2024-10-24,11.97,8.359693,7100
2024-10-25,12.01,8.387629,1800
2024-10-28,12.035,8.405089,2000
2024-10-29,12.17,8.499371,2000
2024-10-30,11.46,8.003514,30600
2024-10-31,11.23,7.953936,2300
2024-11-01,11.06,7.833529,2300
2024-11-04,10.83,7.670626,10000
2024-11-05,10.8,7.649375,1800
2024-11-06,10.46,7.408564,12900
2024-11-07,10.76,7.621048,18400
2024-11-08,11.25,7.968101,7900
2024-11-11,11.26,7.975185,6600
2024-11-12,11.1,7.861859,10800
2024-11-13,11.05,7.826447,1400
2024-11-14,10.71,7.585632,16000
2024-11-15,10.22,7.238579,21700
2024-11-18,9.95,7.047344,9400
2024-11-19,9.96,7.054425,2300
2024-11-20,10.22,7.238579,14500
