date,close,adj_close,volume
2026-01-15,11.38,9.489694,32900
2026-01-16,12.67,10.565415,4200
2026-01-19,12.68,10.573754,700
2026-01-20,12.21,10.181825,4400
2026-01-21,11.94,9.956674,5000
2026-01-22,12.55,10.465348,31400
2026-01-23,12.43,10.36528,6700
2026-01-26,12.81,10.682159,3100
2026-01-27,12.52,10.440331,19400
2026-01-28,11.92,9.939996,200
2026-01-29,11.59,9.66481,1200
2026-01-30,11.72,9.773216,2000
2026-02-02,11.41,9.514709,16500
2026-02-03,9.71,8.097094,54600
2026-02-04,8.92,7.438319,16700
2026-02-05,8.0,6.671138,10300
2026-02-06,8.98,7.488352,85400
2026-02-09,9.23,7.696826,5300
2026-02-10,9.21,7.680148,1800
2026-02-11,9.1,7.58842,1600
2026-02-12,9.12,7.605098,700
2026-02-13,9.32,7.771876,200
2026-02-17,9.36,7.805232,500
2026-02-18,9.31,7.763537,3300
2026-02-19,9.17,7.646792,3400
2026-02-20,8.94,7.454996,5500
2026-02-23,7.22,6.020702,49200
2026-02-24,6.97,5.812229,5900
2026-02-25,6.85,5.712162,11200
2026-02-26,6.74,5.620433,7400
2026-02-27,6.43,5.559905,2700
2026-03-02,6.5,5.620433,2900
2026-03-03,6.29,5.438849,6200
2026-03-04,6.64,5.741489,3700
2026-03-05,6.74,5.827957,3800
2026-03-06,6.62,5.724195,8200
2026-03-09,6.87,5.940366,6600
2026-03-10,6.64,5.741489,8300
2026-03-11,6.65,5.750136,2700
2026-03-12,6.57,5.680961,1500
2026-03-13,6.6,5.706902,6700
2026-03-16,6.67,5.767429,8200
2026-03-17,6.68,5.776076,6500
2026-03-18,6.5,5.620433,12400
2026-03-19,6.39,5.525319,3300
2026-03-20,6.26,5.41291,10300
2026-03-23,6.33,5.473437,4700
2026-03-24,6.4,5.533966,4400
2026-03-25,6.29,5.438849,4400
2026-03-26,6.33,5.473437,3300
2026-03-27,6.28,5.430203,3600
2026-03-30,6.35,5.490732,3800
2026-03-31,6.41,5.760325,2800
2026-04-01,6.36,5.715394,20600
2026-04-02,6.36,5.715394,4600
2026-04-06,6.42,5.769312,1200
2026-04-07,6.44,5.787285,1200
2026-04-08,6.555,5.890629,6300
2026-04-09,6.515,5.854683,6600
2026-04-10,6.52,5.859177,2300
2026-04-13,6.56,5.895122,7600
2026-04-14,6.86,6.164716,23300
2026-04-15,7.08,6.362419,3700
2026-04-16,7.1,6.380392,11400
2026-04-17,7.035,6.32198,1600
2026-04-20,6.995,6.286034,7900
2026-04-21,6.84,6.146744,5600
2026-04-22,6.73,6.047893,600
2026-04-23,6.65,5.976001,8600
2026-04-24,7.13,6.407351,3800
2026-04-27,7.2,6.470257,2600
2026-04-28,7.14,6.416337,6300
2026-04-29,7.01,6.299514,1300
2026-04-30,7.11,6.548178,41500
2026-05-01,7.37,6.787634,5000
2026-05-04,7.47,6.879731,1600
2026-05-05,7.56,6.96262,5800
2026-05-06,7.76,7.146817,8700
2026-05-07,7.76,7.146817,5000
2026-05-08,7.83,7.211285,5000
2026-05-11,7.97,7.340222,4100
2026-05-12,7.94,7.312593,3500
2026-05-13,8.01,7.377062,1100
2026-05-14,7.8,7.183656,4400
2026-05-15,7.58,6.98104,1700
2026-05-19,7.58,6.98104,1700
2026-05-20,7.66,7.054718,200
2026-05-21,7.62,7.017879,600
2026-05-22,7.72,7.109977,8400
2026-05-25,7.7,7.091557,1600
2026-05-26,7.61,7.008669,3100
2026-05-27,7.61,7.008669,0
2026-05-28,7.86,7.238914,1000
2026-05-29,7.7,7.248328,800
2026-06-01,7.45,7.012992,3800
2026-06-02,7.24,6.81531,12900
2026-06-03,7.1,6.683523,5900
2026-06-04,7.45,7.012992,200
2026-06-05,7.3,6.871791,300
2026-06-08,6.98,6.570562,4500
2026-06-09,6.98,6.570562,1100
2026-06-10,7.06,6.645869,200
2026-06-11,7.51,7.069473,900
2026-06-12,7.57,7.125954,600
2026-06-15,7.6,7.154194,3400
2026-06-16,7.5,7.06006,300
2026-06-17,7.64,7.191847,3600
2026-06-18,7.55,7.107127,0
2026-06-19,7.38,6.947099,300
2026-06-22,8.02,7.549558,18900
2026-06-23,8.09,7.615451,5400
2026-06-24,8.29,7.80372,3600
2026-06-25,8.27,7.784893,9400
2026-06-26,8.31,7.822546,6100
2026-06-29,8.41,7.91668,100
2026-06-30,8.22,7.897465,100
2026-07-02,8.54,8.204908,8300
2026-07-03,8.52,8.185694,1900
2026-07-06,8.44,8.108832,1600
2026-07-07,8.45,8.11844,500
2026-07-08,8.35,8.022365,400
2026-07-09,8.35,8.022365,0
2026-07-10,8.35,8.022365,1100
2026-07-13,8.39,8.060795,1400
2026-07-14,8.28,7.95511,5300
2026-07-15,8.5,8.166478,2800
2026-07-16,8.64,8.300985,300
2026-07-17,8.48,8.147263,400
2026-07-20,8.4,8.070401,2300
2026-07-21,8.31,7.983934,4700
2026-07-22,8.1,7.782174,8800
2026-07-23,8.09,7.772566,0
2026-07-24,8.26,7.935895,2300
2026-07-27,8.31,7.983934,1200
2026-07-28,8.62,8.28177,2400
2026-07-29,8.68,8.339416,5400
2026-07-30,8.66,8.3202,600
2026-07-31,7.63,7.4774,45000
2026-08-04,7.11,6.9678,38300
2026-08-05,7.18,7.0364,9700
2026-08-06,7.45,7.301,400
2026-08-07,7.69,7.5362,3200
2026-08-10,7.66,7.5068,500
2026-08-11,7.69,7.5362,4500
2026-08-12,7.53,7.3794,23800
2026-08-13,7.56,7.4088,1900
2026-08-14,7.4,7.252,1700
2026-08-17,7.27,7.1246,38600
2026-08-18,7.46,7.3108,2500
2026-08-19,7.57,7.4186,800
2026-08-20,7.53,7.3794,7500
2026-08-21,7.65,7.497,19700
2026-08-24,7.67,7.5166,3100
2026-08-25,7.92,7.7616,1300
2026-08-26,7.73,7.5754,2800
2026-08-27,7.58,7.4284,35700
2026-08-28,7.5,7.35,36000
2026-08-31,7.28,7.28,1400
2026-09-01,7.31,7.31,31900
2026-09-02,7.55,7.55,1300
2026-09-03,7.615,7.615,5700
2026-09-04,7.5,7.5,3600
2026-09-08,7.23,7.23,3700
2026-09-09,7.115,7.115,1600
2026-09-10,7.04,7.04,1739
