date,close,adj_close,volume
2024-08-22,11.43,7.906248,12300
2024-08-23,11.79,8.155264,31600
2024-08-26,11.51,7.961586,46800
2024-08-27,11.72,8.106841,6900
2024-08-28,11.41,7.892411,5200
2024-08-29,10.88,7.525808,41000
2024-08-30,10.99,7.601897,7600
2024-09-03,10.07,6.96552,16500
2024-09-04,9.92,6.861764,15300
2024-09-05,9.95,6.882516,13600
2024-09-06,9.61,6.647332,18100
2024-09-09,9.82,6.792595,2300
2024-09-10,10.1,6.986273,13100
2024-09-11,10.91,7.546556,13300
2024-09-12,11.12,7.691818,20000
2024-09-13,11.1,7.677983,7200
2024-09-16,10.88,7.525808,37800
2024-09-17,10.76,7.442802,4900
2024-09-18,10.62,7.345963,8400
2024-09-19,11.04,7.63648,9700
2024-09-20,10.81,7.477385,8100
2024-09-23,10.8,7.47047,12400
2024-09-24,11.18,7.73332,13500
2024-09-25,11.38,7.871662,10900
2024-09-26,11.31,7.823243,8600
2024-09-27,10.92,7.675632,2900
2024-09-30,10.91,7.668604,3200
2024-10-01,10.65,7.485851,10500
2024-10-02,10.83,7.612372,5400
2024-10-03,11.1,7.802154,5800
2024-10-04,11.29,7.935704,11000
2024-10-07,11.57,8.132516,5700
2024-10-08,11.9,8.364471,4300
2024-10-09,11.91,8.3715,8300
2024-10-10,12.07,8.483966,8500
2024-10-11,12.1,8.505053,10100
2024-10-15,11.94,8.392588,34400
2024-10-16,12.2,8.575341,23400
2024-10-17,12.29,8.638602,8200
2024-10-18,12.37,8.694835,5200
2024-10-21,12.77,8.975992,6800
2024-10-22,12.78,8.983019,7100
2024-10-23,12.46,8.758095,18800
2024-10-24,12.6,8.856502,18100
2024-10-25,12.73,8.947876,13900
2024-10-28,12.67,8.905703,9700
2024-10-29,12.79,8.990051,10300
2024-10-30,12.57,8.835413,28000
2024-10-31,11.95,8.521648,42800
2024-11-01,12.15,8.664268,12000
2024-11-04,12.23,8.721314,17000
2024-11-05,12.43,8.863939,7500
2024-11-06,12.96,9.241885,16400
2024-11-07,13.07,9.320326,19700
2024-11-08,13.11,9.348852,11500
2024-11-11,12.96,9.241885,16000
2024-11-12,13.19,9.4059,10100
2024-11-13,13.13,9.363114,6800
2024-11-14,13.18,9.398768,5500
2024-11-15,12.9,9.199099,9600
2024-11-18,12.69,9.049346,220800
2024-11-19,13.15,9.377375,7000
2024-11-20,13.09,9.33459,14900
2024-11-21,13.18,9.398768,93300
2024-11-22,12.82,9.142049,10500
2024-11-25,12.34,8.799757,17800
2024-11-26,12.495,8.910293,29300
2024-11-27,12.32,8.785494,9000
2024-11-28,12.44,8.87107,14900
2024-11-29,12.48,9.030256,11700
2024-12-02,12.41,8.979605,9100
2024-12-03,12.62,9.131557,5400
2024-12-04,13.01,9.413753,39500
2024-12-05,12.97,9.38481,8500
2024-12-06,12.85,9.297981,14200
2024-12-09,12.59,9.109849,15500
2024-12-10,12.27,8.878304,17400
2024-12-11,12.61,9.124321,7700
2024-12-12,12.5,9.044729,6000
2024-12-13,12.2,8.827652,14200
2024-12-16,12.01,8.690177,24400
2024-12-17,11.86,8.581636,7800
2024-12-18,12.08,8.740826,24400
2024-12-19,12.03,8.704645,10900
2024-12-20,12.25,8.863832,27800
2024-12-23,12.65,9.153265,55300
2024-12-24,12.7,9.189442,55300
2024-12-27,12.54,9.07367,28000
2024-12-30,12.61,9.124321,120200
2024-12-31,12.16,8.926126,27900
2025-01-02,12.49,9.168363,53900
2025-01-03,12.97,9.520712,11400
2025-01-06,13.29,9.75561,15100
2025-01-07,12.58,9.234427,25300
2025-01-08,12.59,9.241771,13800
2025-01-09,12.37,9.080279,4900
2025-01-10,12.335,9.054585,17400
2025-01-13,12.07,8.860064,19600
2025-01-14,11.92,8.749951,27400
2025-01-15,12.29,9.021554,2900
2025-01-16,12.29,9.021554,34900
2025-01-17,12.53,9.197726,14000
2025-01-20,12.69,9.315174,12600
2025-01-21,12.66,9.293155,6900
2025-01-22,13.13,9.638161,14500
2025-01-23,13.16,9.660182,9400
2025-01-24,12.77,9.373899,55000
2025-01-27,10.88,7.986533,116100
2025-01-28,11.69,8.581118,41900
2025-01-29,11.32,8.309518,41700
2025-01-30,11.45,8.404946,63500
2025-01-31,10.9,8.129008,17900
2025-02-03,10.61,7.91273,23300
2025-02-04,10.61,7.91273,74400
2025-02-05,11.15,8.315452,98300
2025-02-06,11.49,8.569017,75700
2025-02-07,11.59,8.643597,25600
2025-02-10,11.92,8.889703,21600
2025-02-11,11.85,8.837499,41100
2025-02-12,11.7,8.725631,35400
2025-02-13,11.95,8.912079,30000
2025-02-14,12.24,9.128351,31700
2025-02-18,12.27,9.150726,26100
2025-02-19,12.34,9.202931,70300
2025-02-20,12.37,9.225306,58500
2025-02-21,11.96,8.919534,41300
2025-02-24,11.66,8.695801,25900
2025-02-25,11.37,8.479523,15500
2025-02-26,11.81,8.807668,19100
2025-02-27,10.98,8.188669,25700
2025-02-28,11.24,8.522281,34100
2025-03-03,10.25,7.771656,22200
2025-03-04,10.47,7.93846,30300
2025-03-05,10.49,7.953624,43000
2025-03-06,9.87,7.483534,70000
2025-03-07,10.1,7.657924,60900
2025-03-10,9.69,7.347055,34100
2025-03-11,9.9,7.50628,26100
2025-03-12,10.37,7.862639,43300
2025-03-13,10.41,7.892968,31500
2025-03-14,10.86,8.23416,21400
2025-03-17,10.66,8.082521,15900
2025-03-18,10.31,7.817147,34100
2025-03-19,10.51,7.968789,12800
2025-03-20,10.55,7.999119,9000
2025-03-21,10.54,7.991535,24400
2025-03-24,10.84,8.219,25400
2025-03-25,10.72,8.128013,4600
2025-03-26,10.18,7.718579,59100
2025-03-27,10.0,7.582102,83100
2025-03-28,9.89,7.498699,8200
2025-03-31,9.64,7.44464,25200
2025-04-01,9.73,7.514143,54800
2025-04-02,9.77,7.545035,13700
2025-04-03,8.905,6.877025,26700
2025-04-04,8.33,6.432972,18000
2025-04-07,8.63,6.664651,17300
2025-04-08,8.45,6.525644,24400
2025-04-09,9.94,7.676319,37900
2025-04-10,9.29,7.174347,21800
