date,adj_close
2023-05-11,2.8127
2023-05-12,2.8019
2023-05-15,2.8459
2023-05-16,2.8747
2023-05-17,2.944
2023-05-18,3.0104
2023-05-19,3.0033
2023-05-22,3.0003
2023-05-23,2.9609
2023-05-24,2.9413
2023-05-25,3.1759
2023-05-26,3.2724
2023-05-30,3.3601
2023-05-31,3.2251
2023-06-01,3.3663
2023-06-02,3.3395
2023-06-05,3.3467
2023-06-06,3.3197
2023-06-07,3.2342
2023-06-08,3.2943
2023-06-09,3.3119
2023-06-12,3.3527
2023-06-13,3.4257
2023-06-14,3.4405
2023-06-15,3.4417
2023-06-16,3.4242
2023-06-20,3.5219
2023-06-21,3.468
2023-06-22,3.472
2023-06-23,3.4169
2023-06-26,3.3089
2023-06-27,3.4029
2023-06-28,3.3439
2023-06-29,3.3279
2023-06-30,3.4424
2023-07-03,3.4534
2023-07-05,3.4738
2023-07-06,3.4535
2023-07-07,3.4924
2023-07-10,3.4743
2023-07-11,3.5016
2023-07-12,3.6034
2023-07-13,3.6612
2023-07-14,3.573
2023-07-17,3.5639
2023-07-18,3.6521
2023-07-19,3.6262
2023-07-20,3.5229
2023-07-21,3.4392
2023-07-24,3.4636
2023-07-25,3.5198
2023-07-26,3.5289
2023-07-27,3.5578
2023-07-28,3.6278
2023-07-31,3.6322
2023-08-01,3.6247
2023-08-02,3.4636
2023-08-03,3.4803
2023-08-04,3.4983
2023-08-07,3.5536
2023-08-08,3.5061
2023-08-09,3.3516
2023-08-10,3.3422
2023-08-11,3.2618
2023-08-14,3.4399
2023-08-15,3.4525
2023-08-16,3.4273
2023-08-17,3.4273
2023-08-18,3.4305
2023-08-21,3.6354
2023-08-22,3.5787
2023-08-23,3.6575
2023-08-24,3.7804
2023-08-25,3.6985
2023-08-28,3.7552
2023-08-29,3.8671
2023-08-30,3.894
2023-08-31,3.9129
2023-09-01,3.9192
2023-09-05,3.9239
2023-09-06,3.8199
2023-09-07,3.76
2023-09-08,3.7157
2023-09-11,3.696
2023-09-12,3.6763
2023-09-13,3.7222
2023-09-14,3.7435
2023-09-15,3.6172
2023-09-18,3.6139
2023-09-19,3.5779
2023-09-20,3.4729
2023-09-21,3.3859
2023-09-22,3.4269
2023-09-25,3.4712
2023-09-26,3.4614
2023-09-27,3.504
2023-09-28,3.5565
2023-09-29,3.5926
2023-10-02,3.6697
2023-10-03,3.609
2023-10-04,3.65
2023-10-05,3.696
2023-10-06,3.7293
2023-10-09,3.7259
2023-10-10,3.758
2023-10-11,3.8054
2023-10-12,3.8139
2023-10-13,3.7733
2023-10-16,3.8257
2023-10-17,3.6769
2023-10-18,3.5179
2023-10-19,3.5213
2023-10-20,3.4688
2023-10-23,3.5805
2023-10-24,3.6261
2023-10-25,3.4993
2023-10-26,3.3775
2023-10-27,3.3995
2023-10-30,3.4638
2023-10-31,3.4435
2023-11-01,3.5602
2023-11-02,3.6092
2023-11-03,3.6261
2023-11-06,3.6583
2023-11-07,3.6583
2023-11-08,3.6712
2023-11-09,3.6746
2023-11-10,3.6988
2023-11-13,3.7367
2023-11-14,3.7884
2023-11-15,3.7505
2023-11-16,3.7936
2023-11-17,3.7884
2023-11-20,3.8402
2023-11-21,3.8316
2023-11-22,3.8402
2023-11-24,3.7678
2023-11-27,3.8247
2023-11-28,3.7884
2023-11-29,3.8195
2023-11-30,3.7315
2023-12-01,3.735
2023-12-04,3.6401
2023-12-05,3.7143
2023-12-06,3.6505
2023-12-07,3.7277
2023-12-08,3.7754
2023-12-11,3.7454
2023-12-12,3.8054
2023-12-13,3.8478
2023-12-14,3.8602
2023-12-15,3.8814
2023-12-18,3.9609
2023-12-19,3.9326
2023-12-20,3.8531
2023-12-21,3.915
2023-12-22,3.907
2023-12-26,3.9468
2023-12-27,3.9609
2023-12-28,3.9803
2023-12-29,3.9945
2024-01-02,3.9097
2024-01-03,3.8567
2024-01-04,3.9008
2024-01-05,3.9765
2024-01-08,4.0728
2024-01-09,4.0365
2024-01-10,4.111
2024-01-11,4.1474
2024-01-12,4.1492
2024-01-16,4.2401
2024-01-17,4.2365
2024-01-18,4.271
2024-01-19,4.3074
2024-01-22,4.3401
2024-01-23,4.3583
2024-01-24,4.4365
2024-01-25,4.4565
2024-01-26,4.4456
2024-01-29,4.5456
2024-01-30,4.5401
2024-01-31,4.5019
2024-02-01,4.6092
2024-02-02,4.6819
2024-02-05,4.8292
2024-02-06,4.7947
2024-02-07,4.8854
2024-02-08,4.8931
2024-02-09,4.9221
2024-02-12,4.9414
2024-02-13,4.9394
2024-02-14,5.0302
2024-02-15,4.9974
2024-02-16,5.0128
2024-02-20,4.8429
2024-02-21,4.7194
2024-02-22,5.5204
2024-02-23,5.5803
2024-02-26,5.615
2024-02-27,5.5957
2024-02-28,5.5301
2024-02-29,5.6691
2024-03-01,5.8602
2024-03-04,5.9876
2024-03-05,6.0165
2024-03-06,6.0865
2024-03-07,6.1286
2024-03-08,5.8167
2024-03-11,5.7219
2024-03-12,6.1097
2024-03-13,6.0591
2024-03-14,5.861
2024-03-15,5.8821
2024-03-18,5.9368
2024-03-19,6.038
2024-03-20,6.1223
2024-03-21,6.194
2024-03-22,6.3879
2024-03-25,6.47
2024-03-26,6.3309
2024-03-27,6.175
2024-03-28,6.1961
2024-04-01,6.2214
2024-04-02,6.1897
2024-04-03,6.1539
2024-04-04,5.9313
2024-04-05,6.0887
2024-04-08,6.0632
2024-04-09,5.9521
2024-04-10,6.0678
2024-04-11,6.2692
2024-04-12,6.1627
2024-04-15,6.047
2024-04-16,6.1488
2024-04-17,5.9267
2024-04-18,5.9544
2024-04-19,5.4106
2024-04-22,5.6258
2024-04-23,5.811
2024-04-24,5.6605
2024-04-25,5.8457
2024-04-26,5.9799
2024-04-29,5.9961
2024-04-30,5.9336
2024-05-01,5.7346
2024-05-02,5.8873
2024-05-03,6.1095
2024-05-06,6.2499
2024-05-07,6.2232
2024-05-08,6.2377
2024-05-09,6.1626
2024-05-10,6.2426
2024-05-13,6.2741
2024-05-14,6.3565
2024-05-15,6.4559
2024-05-16,6.468
2024-05-17,6.4026
2024-05-20,6.519
2024-05-21,6.5553
2024-05-22,6.5456
2024-05-23,6.7856
2024-05-24,6.9214
2024-05-28,7.1178
2024-05-29,7.1323
2024-05-30,6.9626
2024-05-31,6.9165
2024-06-03,7.2365
2024-06-04,7.3287
2024-06-05,7.5735
2024-06-06,7.5479
2024-06-07,7.6113
2024-06-10,7.7275
2024-06-11,7.7011
2024-06-12,7.8965
2024-06-13,7.9916
2024-06-14,8.0576
2024-06-17,8.0603
2024-06-18,8.2662
2024-06-20,8.0655
2024-06-21,7.8146
2024-06-24,7.3472
2024-06-25,7.8437
2024-06-26,7.8516
2024-06-27,7.7301
2024-06-28,7.7407
2024-07-01,7.7988
2024-07-02,7.7222
2024-07-03,8.0444
2024-07-05,7.9326
2024-07-08,8.0763
2024-07-09,8.22
2024-07-10,8.3292
2024-07-11,8.0964
2024-07-12,8.2574
2024-07-15,8.22
2024-07-16,8.1137
2024-07-17,7.5762
2024-07-18,7.763
2024-07-19,7.6251
2024-07-22,7.9326
2024-07-23,7.9039
2024-07-24,7.4383
2024-07-25,7.3262
2024-07-26,7.3779
2024-07-29,7.3204
2024-07-30,6.8174
2024-07-31,7.6596
