date,close,adj_close,volume
2016-09-12,12.72,5.422034,1250
2016-09-13,12.48,5.319733,8500
2016-09-14,12.48,5.319733,250
2016-09-15,12.56,5.353835,300
2016-09-16,12.36,5.268583,800
2016-09-19,12.5,5.328259,100
2016-09-20,12.52,5.336786,4550
2016-09-21,12.52,5.336786,0
2016-09-22,12.82,5.46466,9100
2016-09-23,12.7,5.41351,400
2016-09-26,12.7,5.41351,0
2016-09-27,12.64,5.387933,750
2016-09-28,12.56,5.381079,350
2016-09-29,12.5,5.355374,3200
2016-09-30,12.66,5.423925,2850
2016-10-03,12.6,5.398216,1450
2016-10-04,12.6,5.398216,350
2016-10-05,12.74,5.458197,1700
2016-10-06,12.74,5.458197,0
2016-10-07,12.6,5.398216,3300
2016-10-11,12.5,5.355374,3050
2016-10-12,12.36,5.295394,2500
2016-10-13,12.32,5.278257,7950
2016-10-14,12.4,5.312532,400
2016-10-17,12.34,5.286827,900
2016-10-18,12.34,5.286827,0
2016-10-19,12.42,5.3211,250
2016-10-20,12.42,5.3211,3850
2016-10-21,12.36,5.295394,3800
2016-10-24,12.36,5.295394,0
2016-10-25,12.36,5.295394,2450
2016-10-26,12.36,5.295394,700
2016-10-27,12.2,5.254906,2550
2016-10-28,12.22,5.263521,1150
2016-10-31,12.18,5.246294,2250
2016-11-01,12.1,5.211833,900
2016-11-02,12.04,5.185989,250
2016-11-03,12.0,5.168756,1200
2016-11-04,11.94,5.142916,3400
2016-11-07,12.06,5.194602,2350
2016-11-08,12.22,5.263521,800
2016-11-09,12.08,5.203217,1450
2016-11-10,12.16,5.237676,1600
2016-11-11,12.06,5.194602,2000
2016-11-14,12.06,5.194602,4650
2016-11-15,12.08,5.203217,1000
2016-11-16,12.08,5.203217,2450
2016-11-17,12.1,5.211833,1100
2016-11-18,12.0,5.168756,6450
2016-11-21,12.1,5.211833,400
2016-11-22,12.14,5.229063,1450
2016-11-23,12.14,5.229063,2250
2016-11-24,12.18,5.246294,50
2016-11-25,12.24,5.272134,7700
2016-11-28,12.08,5.227133,4150
2016-11-29,12.04,5.209825,3500
2016-11-30,12.12,5.244442,150
2016-12-01,12.1,5.235788,550
2016-12-02,12.14,5.253098,1400
2016-12-05,12.26,5.305021,14800
2016-12-06,12.22,5.287714,5150
2016-12-07,12.46,5.391563,2200
2016-12-08,12.48,5.400215,6200
2016-12-09,12.5,5.408874,250
2016-12-12,12.56,5.434834,8850
2016-12-13,12.58,5.443488,1250
2016-12-14,12.52,5.417527,3400
2016-12-15,12.48,5.400215,200
2016-12-16,12.46,5.391563,2150
2016-12-19,12.46,5.391563,0
2016-12-20,12.48,5.400215,5250
2016-12-21,12.48,5.400215,9650
2016-12-22,12.46,5.391563,400
2016-12-23,12.46,5.391563,1450
2016-12-28,12.32,5.354186,1000
2016-12-29,12.38,5.380263,100
2016-12-30,12.36,5.371572,2300
2017-01-03,12.5,5.432414,2150
2017-01-04,12.62,5.484564,1150
2017-01-05,12.66,5.501951,500
2017-01-06,12.66,5.501951,1150
2017-01-09,12.66,5.501951,8800
2017-01-10,12.62,5.484564,850
2017-01-11,12.72,5.528024,2650
2017-01-12,12.68,5.510642,500
2017-01-13,12.68,5.510642,0
2017-01-16,12.64,5.493258,2650
2017-01-17,12.66,5.501951,2000
2017-01-18,12.7,5.519334,800
2017-01-19,12.7,5.519334,250
2017-01-20,12.7,5.519334,0
2017-01-23,12.7,5.519334,400
2017-01-24,12.82,5.571487,350
2017-01-25,12.88,5.597559,1850
2017-01-26,12.98,5.641019,1950
2017-01-27,12.84,5.60262,5250
2017-01-30,12.72,5.550259,4250
2017-01-31,12.82,5.593894,1000
2017-02-01,12.84,5.60262,700
2017-02-02,12.82,5.593894,4000
2017-02-03,12.92,5.637527,850
2017-02-06,12.86,5.611348,100
2017-02-07,12.78,5.576442,2350
2017-02-08,12.78,5.576442,0
2017-02-09,12.8,5.585166,150
2017-02-10,12.8,5.585166,2800
2017-02-13,12.88,5.620074,2950
2017-02-14,12.88,5.620074,600
2017-02-15,12.94,5.646254,1750
2017-02-16,12.96,5.654982,900
2017-02-17,12.9,5.628803,2500
2017-02-21,12.94,5.646254,4100
2017-02-22,12.92,5.637527,1450
2017-02-23,13.02,5.681163,3450
2017-02-24,12.82,5.616326,1000
2017-02-27,12.82,5.616326,0
