date,adj_close
2024-09-12,8.4365
2024-09-13,8.6358
2024-09-16,8.6037
2024-09-17,8.4815
2024-09-18,8.4922
2024-09-19,8.509
2024-09-20,8.9135
2024-09-23,9.0047
2024-09-24,9.0443
2024-09-25,8.9853
2024-09-26,8.0577
2024-09-27,8.181
2024-09-30,8.1574
2024-10-01,8.024
2024-10-02,8.2
2024-10-03,8.1914
2024-10-04,8.2114
2024-10-07,9.2405
2024-10-08,8.8745
2024-10-09,9.1932
2024-10-10,9.1107
2024-10-11,9.3835
2024-10-14,9.3622
2024-10-15,9.3988
2024-10-16,9.5682
2024-10-17,9.4687
2024-10-18,9.4433
2024-10-21,9.556
2024-10-22,9.2797
2024-10-23,9.1715
2024-10-24,9.3722
2024-10-25,9.6098
2024-10-28,9.6818
2024-10-29,9.9071
2024-10-30,6.9143
2024-10-31,6.0982
2024-11-01,5.5512
2024-11-04,5.5259
2024-11-05,5.8028
2024-11-06,4.8856
2024-11-07,5.2558
2024-11-08,5.1267
2024-11-11,4.8871
2024-11-12,4.6157
2024-11-13,4.4015
2024-11-14,3.9916
2024-11-15,4.0616
2024-11-18,4.4864
2024-11-19,5.2914
2024-11-20,4.9406
2024-11-21,5.4341
2024-11-22,5.8425
2024-11-25,6.4964
2024-11-26,5.9874
2024-11-27,6.1262
2024-11-29,5.8103
2024-12-02,6.943
2024-12-03,6.8626
2024-12-04,6.9873
2024-12-05,7.0114
2024-12-06,7.3354
2024-12-09,7.4178
2024-12-10,6.9672
2024-12-11,6.6231
2024-12-12,6.5407
2024-12-13,6.3958
2024-12-16,5.9814
2024-12-17,6.0276
2024-12-18,5.8385
2024-12-19,5.7236
2024-12-20,5.752
2024-12-23,5.8418
2024-12-24,6.1549
2024-12-26,6.0717
2024-12-27,5.8484
2024-12-30,5.6798
2024-12-31,5.6469
2025-01-02,5.5747
2025-01-03,5.9206
2025-01-06,6.2096
2025-01-07,5.9206
2025-01-08,5.6404
2025-01-10,5.6163
2025-01-13,5.4871
2025-01-14,5.428
2025-01-15,5.498
2025-01-16,5.4962
2025-01-17,5.4585
2025-01-21,5.6748
2025-01-22,5.7665
2025-01-23,5.8065
2025-01-24,5.7477
2025-01-27,5.2329
2025-01-28,5.0918
2025-01-29,5.0566
2025-01-30,5.2094
2025-01-31,5.2141
2025-02-03,4.9837
2025-02-04,5.3363
2025-02-05,5.6137
2025-02-06,5.8159
2025-02-07,6.0368
2025-02-10,6.8126
2025-02-11,6.3236
2025-02-12,6.6151
2025-02-13,6.8411
2025-02-14,7.3363
2025-02-18,8.1769
2025-02-19,8.6517
2025-02-20,8.4714
2025-02-21,8.1058
2025-02-24,7.5598
2025-02-25,6.8538
2025-02-26,7.4963
2025-02-27,6.8614
2025-02-28,6.5847
2025-03-03,5.7974
2025-03-04,6.2418
2025-03-05,6.2622
2025-03-06,5.9752
2025-03-07,6.153
2025-03-10,5.993
2025-03-11,6.4628
2025-03-12,6.6227
2025-03-13,6.3601
2025-03-14,6.6733
2025-03-17,6.6953
2025-03-18,6.1705
2025-03-19,6.503
2025-03-20,6.3958
2025-03-21,6.7447
2025-03-24,6.7255
2025-03-25,6.6348
2025-03-26,6.1458
2025-03-27,5.7749
2025-03-28,5.7062
2025-03-31,5.6815
2025-04-01,5.8436
2025-04-02,5.8628
2025-04-03,5.4562
2025-04-04,5.0139
2025-04-07,5.3875
2025-04-08,5.1705
2025-04-09,5.8408
2025-04-10,5.4746
2025-04-11,5.4007
2025-04-14,5.4332
2025-04-15,5.5544
2025-04-16,5.3268
2025-04-17,5.2381
2025-04-21,4.9839
2025-04-22,5.1642
2025-04-23,5.4864
2025-04-24,5.7377
2025-04-25,5.8825
2025-04-28,5.9949
2025-04-29,5.8648
2025-04-30,5.244
2025-05-01,5.3475
2025-05-02,5.4716
2025-05-05,5.2943
2025-05-06,5.4007
2025-05-07,5.4184
2025-05-08,5.3874
2025-05-09,5.3874
2025-05-12,5.5827
2025-05-13,6.0248
2025-05-14,6.6301
2025-05-15,6.5244
2025-05-16,6.8735
2025-05-19,6.7486
2025-05-20,6.5116
2025-05-21,6.3579
2025-05-22,6.3322
2025-05-23,6.1721
2025-05-27,6.3835
2025-05-28,6.4347
2025-05-29,6.3835
2025-05-30,6.2361
2025-06-02,6.3931
2025-06-03,6.5917
2025-06-04,6.6525
2025-06-05,6.3093
2025-06-06,6.4549
2025-06-09,6.6352
2025-06-10,6.6283
2025-06-11,6.6733
2025-06-12,6.7704
2025-06-13,6.5
2025-06-16,6.7392
2025-06-17,6.708
2025-06-18,6.7981
2025-06-20,6.9195
2025-06-23,6.3232
2025-06-24,6.5971
2025-06-25,7.0547
2025-06-26,7.28
2025-06-27,7.1656
2025-06-30,7.3528
2025-07-01,7.1725
2025-07-02,7.332
2025-07-03,7.3395
2025-07-07,7.1631
2025-07-08,7.4108
2025-07-09,7.5346
2025-07-10,7.6022
2025-07-11,7.5309
2025-07-14,7.6059
2025-07-15,7.8948
2025-07-16,7.9286
2025-07-17,7.9136
2025-07-18,7.8123
2025-07-21,7.756
2025-07-22,7.6059
2025-07-23,7.8198
2025-07-24,7.9661
2025-07-25,8.2025
2025-07-28,8.6641
2025-07-29,8.5778
2025-07-30,8.8254
2025-07-31,8.6185
2025-08-01,8.3456
2025-08-04,8.5615
2025-08-05,8.4393
2025-08-06,7.0137
2025-08-07,7.0219
2025-08-08,6.7612
2025-08-11,6.8712
2025-08-12,7.0463
2025-08-13,6.9811
2025-08-14,6.9323
2025-08-15,6.9038
