date,close,adj_close,volume
2025-08-21,12.07,10.251719,1200
2025-08-22,12.08,10.260213,600
2025-08-25,12.11,10.285693,3500
2025-08-26,11.97,10.166785,300
2025-08-27,12.01,10.200758,400
2025-08-28,11.89,10.098835,1100
2025-08-29,11.82,10.039381,200
2025-09-02,11.8,10.022396,4700
2025-09-03,11.84,10.056368,0
2025-09-04,11.92,10.124317,600
2025-09-05,11.92,10.124317,0
2025-09-08,12.08,10.260213,0
2025-09-09,11.86,10.073356,11300
2025-09-10,11.73,9.962938,3500
2025-09-11,11.82,10.039381,600
2025-09-12,11.73,9.962938,2200
2025-09-15,11.73,9.962938,1300
2025-09-16,11.68,9.920471,500
2025-09-17,11.83,10.047875,1500
2025-09-18,11.63,9.878004,22300
2025-09-19,11.59,9.84403,800
2025-09-22,11.67,9.911978,1800
2025-09-23,11.6,9.852524,400
2025-09-24,11.6,9.852524,16700
2025-09-25,11.61,9.861015,2100
2025-09-26,11.67,9.911978,4400
2025-09-29,11.54,9.903396,800
2025-09-30,11.56,9.920558,1000
2025-10-01,11.64,9.989213,700
2025-10-02,11.47,9.843324,4500
2025-10-03,11.47,9.843324,0
2025-10-06,11.4,9.783249,3900
2025-10-07,11.42,9.800415,1400
2025-10-08,11.12,9.54296,8900
2025-10-09,11.12,9.54296,0
2025-10-10,11.24,9.645943,3000
2025-10-14,10.93,9.379909,4600
2025-10-15,11.18,9.594453,600
2025-10-16,11.12,9.54296,0
2025-10-17,11.35,9.740341,200
2025-10-20,11.14,9.560124,3500
2025-10-21,11.08,9.508634,1600
2025-10-22,11.08,9.508634,0
2025-10-23,11.1,9.525797,400
2025-10-24,11.07,9.500051,800
2025-10-27,10.955,9.401361,5100
2025-10-28,10.94,9.388487,1100
2025-10-29,10.68,9.16536,8800
2025-10-30,10.73,9.208269,1700
2025-10-31,10.61,9.20827,4000
2025-11-03,10.46,9.078088,700
2025-11-04,10.46,9.078088,0
2025-11-05,10.7,9.286379,3100
2025-11-06,10.69,9.277701,18900
2025-11-07,10.66,9.251663,5000
2025-11-10,10.75,9.329774,8000
2025-11-11,10.68,9.269022,400
2025-11-12,10.64,9.234305,8400
2025-11-13,10.64,9.234305,200
2025-11-14,10.52,9.130161,200
2025-11-17,10.3,8.939225,2400
2025-11-18,9.67,8.392458,23600
2025-11-19,9.6,8.331704,4100
2025-11-20,9.55,8.288312,2400
2025-11-21,9.44,8.192845,1400
2025-11-24,9.18,7.967193,2600
2025-11-25,9.18,7.967193,800
2025-11-26,9.14,7.932478,2200
2025-11-27,9.25,8.027946,700
2025-11-28,9.11,8.010359,2800
2025-12-01,8.88,7.808122,3200
2025-12-02,9.0,7.913637,3800
2025-12-03,9.21,8.098289,2800
2025-12-04,9.31,8.186219,1900
2025-12-05,9.35,8.221389,3600
2025-12-08,9.23,8.115875,5300
2025-12-09,9.18,8.071909,1400
2025-12-10,9.03,7.940017,4300
2025-12-11,8.93,7.852087,12800
2025-12-12,8.86,7.790536,1700
2025-12-15,8.94,7.860879,3500
2025-12-16,8.84,7.77295,7000
2025-12-17,8.79,7.728986,19500
2025-12-18,8.77,7.711401,4100
2025-12-19,8.79,7.728986,7300
2025-12-22,8.74,7.685021,2800
2025-12-23,8.78,7.720192,2600
2025-12-24,8.8,7.737778,17000
2025-12-29,9.0,7.913637,8300
2025-12-30,9.07,7.975187,4100
2025-12-31,9.04,8.055384,1600
2026-01-02,9.02,8.037563,1200
2026-01-05,8.91,7.939545,400
2026-01-06,9.15,8.153405,100
2026-01-07,9.15,8.153405,500
2026-01-08,9.275,8.26479,2100
2026-01-09,9.32,8.304888,2900
2026-01-12,9.37,8.349443,1900
2026-01-13,9.3,8.287066,1900
2026-01-14,9.41,8.385086,1700
2026-01-15,9.43,8.402908,0
2026-01-16,9.46,8.42964,0
2026-01-19,9.45,8.420729,0
2026-01-20,9.18,8.180137,6300
2026-01-21,9.26,8.251423,1200
2026-01-22,9.42,8.393997,12800
2026-01-23,9.5,8.465282,1100
2026-01-26,9.51,8.474195,1000
2026-01-27,9.43,8.402908,2900
2026-01-28,9.43,8.402908,0
2026-01-29,9.44,8.411819,2100
2026-01-30,9.25,8.348639,2300
2026-02-02,9.32,8.411819,5300
2026-02-03,9.4,8.484022,400
2026-02-04,9.64,8.700637,3400
2026-02-05,9.55,8.619407,2000
2026-02-06,9.5,8.574279,7700
2026-02-09,9.53,8.601355,200
2026-02-10,9.61,8.673559,1500
2026-02-11,9.57,8.637457,400
2026-02-12,9.4,8.484022,12900
2026-02-13,8.985,8.109463,31900
2026-02-17,9.12,8.231308,900
2026-02-18,9.06,8.177155,1400
2026-02-19,9.07,8.186179,2400
2026-02-20,9.09,8.20423,8600
2026-02-23,9.09,8.20423,0
2026-02-24,9.05,8.168128,6800
2026-02-25,9.0,8.123001,6700
2026-02-26,9.01,8.132025,0
2026-02-27,9.07,8.296678,1100
2026-03-02,8.87,8.113731,2800
2026-03-03,9.04,8.269236,3600
2026-03-04,9.2,8.415595,6100
2026-03-05,9.19,8.406447,0
2026-03-06,9.03,8.26009,600
2026-03-09,9.05,8.278385,1700
2026-03-10,9.05,8.278385,1800
2026-03-11,8.86,8.104584,9600
2026-03-12,8.89,8.132026,800
2026-03-13,8.91,8.15032,6700
2026-03-16,8.96,8.196058,700
2026-03-17,9.15,8.369858,2900
2026-03-18,9.04,8.269236,600
2026-03-19,8.92,8.159468,4900
2026-03-20,8.88,8.122878,2400
2026-03-23,8.94,8.177762,1100
2026-03-24,9.03,8.26009,2400
2026-03-25,8.84,8.086289,4600
2026-03-26,8.81,8.058847,5500
2026-03-27,8.68,7.939931,1500
2026-03-30,8.9,8.141173,600
2026-03-31,8.76,8.122628,1100
2026-04-01,8.76,8.122628,200
2026-04-02,8.72,8.08554,2300
2026-04-06,8.72,8.08554,0
2026-04-07,8.5,7.881547,500
2026-04-08,8.47,7.853729,1300
2026-04-09,7.77,7.20466,17400
2026-04-10,7.86,7.288113,1800
2026-04-13,7.92,7.343746,2900
2026-04-14,7.96,7.380836,0
2026-04-15,8.08,7.492105,0
2026-04-16,8.17,7.575556,3700
2026-04-17,8.25,7.649736,1400
2026-04-20,8.12,7.529194,1400
2026-04-21,8.07,7.482832,100
2026-04-22,8.07,7.482832,2500
2026-04-23,8.16,7.566285,1000
2026-04-24,8.11,7.519922,3000
2026-04-27,7.99,7.408654,5000
2026-04-28,8.15,7.557012,1500
2026-04-29,8.01,7.427198,3500
2026-04-30,8.09,7.615467,5200
2026-05-01,8.11,7.634293,1400
2026-05-04,8.15,7.671947,1100
2026-05-05,8.18,7.700188,3600
2026-05-06,8.26,7.775496,800
2026-05-07,8.39,7.89787,2400
2026-05-08,8.28,7.794322,600
2026-05-11,8.18,7.700188,1800
2026-05-12,8.24,7.756669,1400
2026-05-13,8.08,7.606054,5600
2026-05-14,8.17,7.690774,1100
2026-05-15,7.98,7.511919,3800
2026-05-19,8.12,7.643707,2200
2026-05-20,8.12,7.643707,300
2026-05-21,8.15,7.671947,0
2026-05-22,8.24,7.756669,600
2026-05-25,8.25,7.766082,1600
2026-05-26,8.25,7.766082,0
2026-05-27,8.21,7.728428,2800
2026-05-28,8.275,7.789615,500
2026-05-29,8.14,7.775288,100
2026-06-01,8.17,7.803943,800
2026-06-02,8.19,7.823047,700
2026-06-03,8.04,7.679768,1900
2026-06-04,7.98,7.622457,3200
2026-06-05,8.05,7.68932,7600
2026-06-08,7.97,7.612904,2600
2026-06-09,8.08,7.717976,1200
2026-06-10,7.96,7.603353,3400
2026-06-11,7.97,7.612904,1300
2026-06-12,8.06,7.698872,300
2026-06-15,7.99,7.632008,7500
2026-06-16,7.99,7.632008,1600
2026-06-17,7.93,7.574696,1000
2026-06-18,7.81,7.460073,11100
2026-06-19,7.91,7.555593,900
2026-06-22,7.72,7.374106,3700
2026-06-23,7.87,7.517385,165400
2026-06-24,7.68,7.335897,18100
2026-06-25,7.5,7.163963,5100
2026-06-26,7.5,7.163963,2400
2026-06-29,7.28,6.95382,31400
2026-06-30,6.97,6.769291,24900
2026-07-02,6.66,6.468218,23400
2026-07-03,6.73,6.536202,5400
2026-07-06,6.72,6.52649,74700
2026-07-07,6.86,6.662459,7400
2026-07-08,6.86,6.662459,3700
2026-07-09,6.78,6.584763,14000
2026-07-10,6.85,6.652747,200
2026-07-13,6.92,6.720731,46900
2026-07-14,6.78,6.584763,3600
2026-07-15,6.79,6.594475,8800
2026-07-16,6.91,6.711019,5600
2026-07-17,6.66,6.468218,900
2026-07-20,6.65,6.458506,7300
2026-07-21,6.61,6.419658,7700
2026-07-22,6.59,6.400234,1700
2026-07-23,6.51,6.322537,3300
2026-07-24,6.57,6.38081,400
2026-07-27,6.79,6.594475,1000
2026-07-28,6.95,6.749867,5400
2026-07-29,7.2,6.992668,3100
2026-07-30,6.955,6.754723,9500
2026-07-31,5.95,5.880117,38600
2026-08-04,5.85,5.781292,11200
2026-08-05,6.1,6.028356,7400
2026-08-06,6.12,6.04812,800
2026-08-07,6.05,5.978943,1900
2026-08-10,5.925,5.855411,23000
2026-08-11,5.92,5.85047,11400
2026-08-12,5.85,5.781292,5400
2026-08-13,6.01,5.939413,1400
2026-08-14,6.01,5.939413,3000
2026-08-17,5.97,5.899882,9900
2026-08-18,6.0,5.92953,8200
2026-08-19,6.15,6.077768,7700
2026-08-20,6.17,6.097534,15200
2026-08-21,6.08,6.008591,3200
2026-08-24,6.05,5.978943,1500
2026-08-25,6.04,5.96906,2400
2026-08-26,5.99,5.919647,8000
