date,close,adj_close,volume
2025-08-25,9.99,8.084064,2632
2025-08-26,9.9,8.011239,10320
2025-08-27,9.9,8.011239,200
2025-08-28,9.82,7.946499,6400
2025-08-29,9.82,8.061429,0
2025-09-02,9.65,7.921872,800
2025-09-03,9.73,7.987545,102
2025-09-04,9.72,7.979337,1300
2025-09-05,9.85,8.086055,1000
2025-09-08,9.75,8.003964,514
2025-09-09,9.73,7.987545,500
2025-09-10,9.57,7.856198,16144
2025-09-11,9.63,7.905452,126
2025-09-12,9.63,7.905452,116
2025-09-15,9.58,7.864408,1150
2025-09-16,9.53,7.823362,2731
2025-09-17,9.63,7.905452,203
2025-09-18,9.51,7.806943,5395
2025-09-19,9.55,7.839781,3052
2025-09-22,9.52,7.815152,1431
2025-09-23,9.49,7.790525,2900
2025-09-24,9.55,7.839781,23500
2025-09-25,9.36,7.798122,13774
2025-09-26,9.37,7.806455,15170
2025-09-29,9.39,7.823118,16482
2025-09-30,9.41,7.83978,500
2025-10-01,9.46,7.881437,700
2025-10-02,9.34,7.781461,6600
2025-10-03,9.39,7.823118,3014
2025-10-06,9.29,7.739805,13151
2025-10-07,9.28,7.731472,1000
2025-10-08,9.04,7.531521,25880
2025-10-09,9.08,7.564846,3280
2025-10-10,9.12,7.598172,3129
2025-10-14,9.07,7.556515,6887
2025-10-15,9.04,7.531521,19800
2025-10-16,9.02,7.514859,155
2025-10-17,9.02,7.514859,0
2025-10-20,9.03,7.523188,7696
2025-10-21,8.98,7.481533,930
2025-10-22,9.07,7.556515,3005
2025-10-23,9.01,7.506528,225
2025-10-27,8.9,7.414882,26876
2025-10-28,8.87,7.389888,373
2025-10-29,8.59,7.271379,2500
2025-10-30,8.6,7.279843,1412
2025-10-31,8.58,7.262914,1051
2025-11-03,8.54,7.229053,2015
2025-11-04,8.54,7.229053,0
2025-11-05,8.65,7.322168,600
2025-11-06,8.65,7.322168,201
2025-11-07,8.65,7.322168,2703
2025-11-10,8.67,7.339098,3637
2025-11-11,8.66,7.330634,1224
2025-11-12,8.59,7.271379,860
2025-11-13,8.64,7.313704,1350
2025-11-14,8.53,7.220589,501
2025-11-17,8.36,7.076685,2423
2025-11-18,7.81,6.611114,8346
2025-11-19,7.78,6.58572,697
2025-11-20,7.73,6.543395,797
2025-11-21,7.66,6.48414,422
2025-11-24,7.43,6.289447,6191
2025-11-25,7.4,6.264051,3229
2025-11-26,7.28,6.281309,8562
2025-11-27,7.33,6.32445,12975
2025-11-28,7.32,6.315821,8765
2025-12-01,7.19,6.203655,2059
2025-12-02,7.19,6.203655,0
2025-12-03,7.39,6.376218,2807
2025-12-04,7.44,6.419359,31679
2025-12-05,7.47,6.445243,705
2025-12-08,7.4,6.384846,3300
2025-12-09,7.4,6.384846,0
2025-12-10,7.3,6.298564,6652
2025-12-11,7.19,6.203655,21513
2025-12-12,7.18,6.195026,4064
2025-12-15,7.16,6.17777,850
2025-12-16,7.12,6.143258,351
2025-12-17,7.08,6.108745,3010
2025-12-18,7.08,6.108745,0
2025-12-19,7.08,6.108745,2307
2025-12-22,7.07,6.100117,283
2025-12-23,7.07,6.100117,3735
2025-12-24,7.12,6.143258,300
2025-12-29,7.12,6.266474,10489
2025-12-30,7.17,6.310481,1194
2025-12-31,7.23,6.363289,4065
2026-01-02,7.21,6.345685,20657
2026-01-05,7.22,6.354487,933
2026-01-06,7.31,6.433697,1375
2026-01-07,7.3,6.424897,2244
2026-01-08,7.42,6.530512,445
2026-01-09,7.43,6.539313,400
2026-01-12,7.48,6.583319,1400
2026-01-13,7.42,6.530512,17230
2026-01-14,7.53,6.627325,3415
2026-01-15,7.57,6.662529,4670
2026-01-16,7.57,6.662529,9306
2026-01-19,7.54,6.636127,4800
2026-01-20,7.36,6.477704,4100
2026-01-21,7.4,6.512909,4085
2026-01-22,7.51,6.609723,566
2026-01-23,7.6,6.688933,413
2026-01-26,7.61,6.697736,3929
2026-01-27,7.53,6.627325,1970
2026-01-28,7.47,6.663003,2750
2026-01-29,7.47,6.663003,0
2026-01-30,7.47,6.663003,0
2026-02-02,7.42,6.618405,4973
2026-02-03,7.47,6.663003,501
2026-02-04,7.76,6.921675,530
2026-02-05,7.73,6.894916,800
2026-02-06,7.64,6.814638,100
2026-02-09,7.64,6.814638,5560
2026-02-10,7.64,6.814638,0
2026-02-11,7.65,6.823558,200
2026-02-12,7.51,6.698683,7857
2026-02-13,7.22,6.440012,8098
2026-02-17,7.32,6.529209,2013
2026-02-18,7.29,6.502449,5158
2026-02-19,7.28,6.49353,1600
2026-02-20,7.32,6.529209,100
2026-02-23,7.32,6.529209,0
2026-02-24,7.32,6.529209,0
2026-02-25,7.13,6.44782,711
2026-02-26,7.13,6.44782,0
2026-02-27,7.28,6.583468,1616
2026-03-02,7.11,6.429733,542
2026-03-03,7.28,6.583468,4532
2026-03-04,7.36,6.655814,3660
2026-03-05,7.35,6.64677,250
2026-03-06,7.25,6.556339,477
2026-03-09,7.24,6.547295,1840
2026-03-10,7.24,6.547295,1900
2026-03-11,7.15,6.465907,323
2026-03-12,7.15,6.465907,353
2026-03-13,7.14,6.456862,300
2026-03-16,7.28,6.583468,276
2026-03-17,7.35,6.64677,11000
2026-03-18,7.29,6.592511,106
2026-03-19,7.29,6.592511,15100
2026-03-20,7.29,6.592511,0
2026-03-23,7.18,6.493035,5503
2026-03-24,7.2,6.511122,5600
2026-03-25,7.09,6.411647,125
2026-03-26,7.06,6.384517,841
2026-03-27,6.92,6.347825,3859
2026-03-30,7.01,6.430383,1500
2026-03-31,7.01,6.430383,201
2026-04-01,7.01,6.430383,0
2026-04-02,7.01,6.430383,5471
2026-04-06,7.03,6.44873,1050
2026-04-07,7.03,6.44873,3093
2026-04-08,6.81,6.246919,9234
2026-04-09,6.24,5.72405,8406
2026-04-10,6.3,5.779089,4221
2026-04-13,6.4,5.870821,2417
2026-04-14,6.49,5.953379,2376
2026-04-15,6.49,5.953379,0
2026-04-16,6.49,5.953379,0
2026-04-17,6.57,6.026764,1100
2026-04-20,6.49,5.953379,2611
2026-04-21,6.49,5.953379,0
2026-04-22,6.49,5.953379,415
2026-04-23,6.59,6.045111,397
2026-04-24,6.5,5.962552,1700
2026-04-27,6.42,5.889167,583
2026-04-28,6.42,5.98235,1955
2026-04-29,6.35,5.917121,1010
2026-04-30,6.35,5.917121,118
2026-05-01,6.51,6.066214,2286
2026-05-04,6.55,6.103487,2201
2026-05-05,6.54,6.09417,1200
2026-05-06,6.69,6.233944,2400
2026-05-07,6.69,6.233944,2052
2026-05-08,6.65,6.196671,7100
2026-05-11,6.57,6.122124,2600
2026-05-12,6.57,6.122124,0
2026-05-13,6.47,6.028941,11540
2026-05-14,6.47,6.028941,234
2026-05-15,6.4,5.963713,3136
2026-05-19,6.47,6.028941,5410
2026-05-20,6.47,6.028941,100
2026-05-21,6.47,6.028941,0
2026-05-22,6.59,6.140761,5900
2026-05-25,6.61,6.159397,3921
2026-05-26,6.61,6.159397,0
2026-05-27,6.61,6.254012,0
2026-05-28,6.51,6.159398,25200
2026-05-29,6.51,6.159398,0
2026-06-01,6.51,6.159398,0
2026-06-02,6.56,6.206705,450
2026-06-03,6.44,6.093167,1634
2026-06-04,6.41,6.064783,1369
2026-06-05,6.41,6.064783,960
2026-06-08,6.41,6.064783,2955
2026-06-09,6.41,6.064783,2480
2026-06-10,6.39,6.04586,32116
2026-06-11,6.39,6.04586,0
2026-06-12,6.41,6.064783,400
2026-06-15,6.39,6.04586,800
2026-06-16,6.39,6.04586,0
2026-06-17,6.39,6.04586,0
2026-06-18,6.27,5.932323,545
2026-06-19,6.32,5.97963,550
2026-06-22,6.18,5.84717,3286
2026-06-23,6.18,5.84717,0
2026-06-24,6.28,5.941784,877
2026-06-25,6.14,5.809324,3361
2026-06-26,6.14,5.905505,395
2026-06-29,5.71,5.491927,4196
2026-06-30,5.57,5.357274,1113
2026-07-02,5.32,5.116822,5469
2026-07-03,5.38,5.174531,203
2026-07-06,5.37,5.164912,1738
2026-07-07,5.37,5.164912,300
2026-07-08,5.48,5.270711,836
2026-07-09,5.45,5.241857,354
2026-07-10,5.47,5.261093,3100
2026-07-13,5.47,5.261093,0
2026-07-14,5.47,5.261093,1000
2026-07-15,5.44,5.232239,9501
2026-07-16,5.54,5.32842,15064
2026-07-17,5.37,5.164912,650
2026-07-20,5.37,5.164912,2420
2026-07-21,5.3,5.097586,19412
2026-07-22,5.3,5.097586,0
2026-07-23,5.24,5.039877,1152
2026-07-24,5.24,5.039877,100
2026-07-27,5.24,5.039877,261
2026-07-28,5.6,5.386128,2465
2026-07-29,5.6,5.484058,0
2026-07-30,5.68,5.562402,10001
2026-07-31,4.76,4.661449,119589
2026-08-04,4.76,4.661449,104369
2026-08-05,4.92,4.818137,21488
2026-08-06,4.93,4.827929,17202
2026-08-07,4.86,4.759379,34641
2026-08-10,4.78,4.681036,38226
2026-08-11,4.775,4.676139,4000
2026-08-12,4.72,4.622277,1200
2026-08-13,4.83,4.73,608
2026-08-14,4.83,4.73,0
2026-08-17,4.81,4.710414,2902
2026-08-18,4.81,4.710414,0
2026-08-19,4.83,4.73,623
2026-08-20,4.965,4.862205,3044
2026-08-21,4.9,4.798551,4044
2026-08-24,4.89,4.788758,2088
2026-08-25,4.87,4.769172,511
2026-08-26,4.83,4.73,15601
2026-08-27,4.83,4.83,1015
2026-08-28,4.71,4.71,10290
2026-08-31,4.73,4.73,6481
2026-09-01,4.71,4.71,9730
2026-09-02,4.71,4.71,195
2026-09-03,4.71,4.71,506
2026-09-04,4.7,4.7,14711
2026-09-08,4.68,4.68,4078
2026-09-09,4.68,4.68,14953
2026-09-10,4.43,4.43,10336
