date,close,adj_close,volume
2025-02-19,20.0,11.443318,0
2025-02-20,19.120001,10.939814,8344
2025-02-21,18.030001,10.316152,5183
2025-02-24,15.68,8.971563,13174
2025-02-25,15.08,8.628263,6197
2025-02-26,15.54,8.891459,278
2025-02-27,14.57,8.336456,23482
2025-02-28,14.14,8.231669,18962
2025-03-03,14.14,8.231669,0
2025-03-04,14.14,8.231669,0
2025-03-05,15.15,8.819647,50
2025-03-06,15.15,8.819647,12404
2025-03-07,15.15,8.819647,19409
2025-03-10,12.48,7.265291,21265
2025-03-11,13.0,7.568012,22197
2025-03-12,14.09,8.202562,18351
2025-03-13,13.26,7.719375,14265
2025-03-14,14.67,8.540211,18110
2025-03-17,14.84,8.639178,1091
2025-03-18,14.17,8.249135,51240
2025-03-19,14.7,8.557677,9191
2025-03-20,14.97,8.714858,11945
2025-03-21,15.49,9.01758,10856
2025-03-24,16.780001,9.768559,25163
2025-03-25,16.75,9.751095,55766
2025-03-26,15.86,9.232977,34636
2025-03-27,15.37,9.091021,47123
2025-03-28,14.37,8.499543,103505
2025-03-31,14.1,8.339845,13860
2025-04-01,14.18,8.387161,15227
2025-04-02,14.75,8.724305,38792
2025-04-03,14.02,8.292526,5962
2025-04-04,12.07,7.139143,38440
2025-04-07,12.73,7.529518,22172
2025-04-08,12.73,7.529518,35076
2025-04-09,15.48,9.156084,50282
2025-04-10,14.91,8.818941,38909
2025-04-11,15.0,8.872174,83518
2025-04-14,15.96,9.439993,193314
2025-04-15,16.91,10.001899,20340
2025-04-16,15.88,9.392675,6337
2025-04-17,16.120001,9.534632,65247
2025-04-21,15.43,9.126511,9817
2025-04-22,16.02,9.475482,13161
2025-04-23,17.17,10.155684,27973
2025-04-24,18.07,10.688012,3868
2025-04-25,18.68,11.048814,17390
2025-04-28,18.83,11.288614,11392
2025-04-29,19.049999,11.420506,1507
2025-04-30,19.4,11.630329,2277
2025-05-01,19.26,11.5464,5971
2025-05-02,20.25,12.139907,23547
2025-05-05,20.18,12.09794,7741
2025-05-06,17.83,10.689115,45231
2025-05-07,18.07,10.832994,17793
2025-05-08,19.940001,11.954062,26328
2025-05-09,19.51,11.696276,39011
2025-05-12,19.77,11.852146,17968
2025-05-13,21.530001,12.907271,24640
2025-05-14,21.75,13.039162,12933
