date,close,adj_close,volume
2017-02-14,20.24,10.471313,2700
2017-02-15,20.33,10.517879,44300
2017-02-16,20.379999,10.543743,3800
2017-02-17,20.379999,10.543743,0
2017-02-21,20.450001,10.579963,32000
2017-02-22,20.469999,10.590306,2000
2017-02-23,20.290001,10.549755,12700
2017-02-24,20.049999,10.424966,33600
2017-02-27,20.51,10.66414,17100
2017-02-28,19.950001,10.372971,14100
2017-03-01,20.1,10.450958,11200
2017-03-02,20.120001,10.461364,14700
2017-03-03,20.110001,10.456162,3400
2017-03-06,20.200001,10.502963,6800
2017-03-07,20.200001,10.502963,16300
2017-03-08,20.129999,10.46656,21200
2017-03-09,20.129999,10.46656,14000
2017-03-10,20.120001,10.461364,16800
2017-03-13,20.190001,10.497752,9500
2017-03-14,20.049999,10.424966,28400
2017-03-15,20.120001,10.461364,13000
2017-03-16,20.190001,10.497752,6500
2017-03-17,20.139999,10.471763,6200
2017-03-20,20.02,10.409366,61500
2017-03-21,19.870001,10.331377,55000
2017-03-22,19.950001,10.372971,18800
2017-03-23,20.08,10.440562,22400
2017-03-24,20.1,10.450958,52700
2017-03-27,20.16,10.482163,76100
2017-03-28,20.190001,10.551139,41800
2017-03-29,20.200001,10.55637,37700
2017-03-30,20.15,10.530238,65400
2017-03-31,20.15,10.530238,20300
2017-04-03,20.120001,10.514562,71100
2017-04-04,20.25,10.582497,52600
2017-04-05,20.18,10.545919,47800
2017-04-06,20.24,10.577266,38800
2017-04-07,20.24,10.577266,32800
2017-04-10,20.26,10.587723,63400
2017-04-11,20.25,10.582497,68900
2017-04-12,20.24,10.577266,33600
2017-04-13,20.120001,10.514562,65600
2017-04-17,20.280001,10.598179,17800
2017-04-18,20.209999,10.561595,27500
2017-04-19,20.190001,10.551139,39900
2017-04-20,20.27,10.592949,40500
2017-04-21,20.280001,10.598179,43300
2017-04-24,20.450001,10.687011,40300
2017-04-25,20.440001,10.735336,18800
2017-04-26,20.35,10.688061,25500
2017-04-27,20.200001,10.609289,56700
2017-04-28,20.23,10.625042,20600
2017-05-01,20.370001,10.698574,22100
2017-05-02,20.379999,10.703818,28300
2017-05-03,20.379999,10.703818,20100
2017-05-04,20.26,10.6408,19700
2017-05-05,20.360001,10.693319,31000
2017-05-08,20.459999,10.745839,15000
2017-05-09,20.360001,10.693319,30000
2017-05-10,20.379999,10.703818,18300
2017-05-11,20.200001,10.609289,40200
2017-05-12,20.209999,10.614536,23700
2017-05-15,20.299999,10.661803,11600
2017-05-16,20.16,10.588281,61000
2017-05-17,19.870001,10.435966,184200
2017-05-18,19.9,10.451718,50600
2017-05-19,20.049999,10.5305,36700
2017-05-23,20.16,10.588281,20800
2017-05-24,20.1,10.556766,32900
2017-05-25,20.08,10.546261,23800
2017-05-26,19.93,10.520921,25600
2017-05-29,19.969999,10.542029,23300
2017-05-30,19.950001,10.531478,17600
2017-05-31,19.93,10.520921,21900
2017-06-01,20.110001,10.615936,31500
2017-06-02,20.08,10.600106,15000
2017-06-05,20.049999,10.584269,25200
2017-06-06,20.030001,10.573707,12500
2017-06-07,20.01,10.563159,28300
